timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.32;1831.97;21.59;137.34;41.36;24.82;0.0;0.0;2929.5;-2929.5;-2.2;1999.2;0.0;130.0;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;1.0;4700.0;21.39;176.52;44.84;26.91;0.0;0.0;7834.5;-7834.5;-5.88;2635.8;0.0;134.5;1.0;0.0;0.11;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.9;0.0;0.0;21.99;176.09;44.84;26.91;0.0;0.0;2817.66;-2817.66;-5.21;3038.8;0.0;127.6;1.0;0.0;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;4700.0;21.93;175.66;48.33;29.0;0.0;0.0;5409.66;-5409.66;-10.01;3196.1;0.0;109.7;1.0;0.0;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;4700.0;21.86;175.23;51.82;31.09;0.0;0.0;5409.24;-5409.24;-15.42;3206.0;0.0;109.2;1.0;0.0;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;4700.0;21.81;174.8;55.3;33.18;0.0;0.0;5430.25;-5430.25;-15.48;3037.5;0.0;130.3;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.0;1.0;4700.0;21.57;210.25;58.79;35.27;0.0;0.0;7847.43;-7847.43;-26.29;3079.9;0.0;147.4;1.0;0.0;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;1.0;0.0;0.0;22.2;209.82;58.79;35.27;0.0;0.0;3160.04;-3160.04;-10.59;3444.9;0.0;160.0;1.0;0.0;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;1.0;0.0;0.0;22.8;209.39;58.79;35.27;0.0;0.0;3281.32;-3281.32;-9.35;3714.8;0.0;281.3;1.0;0.0;0.3;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.2;0.0;0.0;22.66;208.96;58.79;35.27;0.0;0.0;1113.63;-1113.63;-3.17;4033.1;0.0;513.6;1.0;0.0;0.16;-3.54;-5.7;3.8;1.1;0.0;0.0
