timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;21.65;0.0;0.0;1638.17;-1638.17;-1.23;7847.0;1638.2;0.0;-2.0;-1.5;4.08;0.0;0.0
2;00:30;0.0;21.55;0.0;0.0;1398.72;-1398.72;-1.05;8321.3;1398.7;0.0;-2.0;-1.5;4.08;0.0;0.0
3;01:00;0.0;21.45;0.0;0.0;1249.39;-1249.39;-2.31;8714.4;1249.4;0.05;-2.05;-3.7;4.07;0.0;0.0
4;01:30;0.0;21.34;0.0;0.0;1196.38;-1196.38;-2.21;9020.7;1196.4;0.16;-2.15;-3.7;4.05;0.0;0.0
5;02:00;0.0;21.22;0.0;0.0;1171.4;-1171.4;-3.34;9686.0;1171.4;0.28;-2.3;-5.7;4.03;0.0;0.0
6;02:30;1.0;21.8;0.0;0.0;16176.39;-16176.39;-46.1;10735.0;1176.4;0.0;-2.5;-5.7;3.99;0.0;0.0
7;03:00;0.87;22.27;0.0;0.0;14421.93;-14421.93;-48.31;12044.2;1368.9;0.0;-2.72;-6.7;3.95;0.0;0.0
8;03:30;1.0;22.8;0.0;0.0;16761.97;-16761.97;-56.15;13631.4;1762.0;0.3;-2.97;-6.7;3.91;0.0;0.0
9;04:00;0.2;22.76;0.0;0.0;4824.21;-4824.21;-13.75;15044.8;1824.2;0.26;-3.24;-5.7;3.86;0.0;0.0
10;04:30;0.35;22.8;0.0;0.0;6845.84;-6845.84;-19.51;16272.4;1532.8;0.3;-3.54;-5.7;3.8;0.0;0.0
11;05:00;0.32;22.8;0.0;0.0;6855.26;-6855.26;-7.88;18041.2;1992.3;0.3;-3.8;-2.3;3.76;0.0;0.0
12;05:30;0.37;22.8;0.0;0.0;8795.27;-8795.27;-10.11;20388.6;3254.3;0.3;-4.0;-2.3;3.72;0.0;0.0
13;06:00;0.46;22.8;0.0;0.0;11027.56;-11027.56;-146.67;25113.5;4126.1;0.3;-4.27;-26.6;3.67;0.0;0.0
14;06:30;0.6;22.8;0.0;0.0;13616.73;-13616.73;-181.1;32379.6;4580.7;0.3;-4.62;-26.6;3.61;0.0;0.0
15;07:00;0.7;22.8;0.0;0.0;15577.18;-15577.18;-144.09;37408.1;5014.2;0.3;-4.87;-18.5;3.56;0.0;0.0
16;07:30;0.59;22.69;0.0;0.0;14202.96;-14202.96;-131.38;40044.7;5425.0;0.19;-5.02;-18.5;3.54;0.0;0.0
17;08:00;0.34;22.41;0.0;0.0;10327.51;-10327.51;-43.89;40972.3;5172.0;0.0;-5.34;-8.5;3.48;0.0;0.0
18;08:30;0.27;22.1;0.0;0.0;8265.57;-8265.57;-35.13;40073.1;4209.6;0.0;-5.84;-8.5;3.39;0.0;0.0
19;09:00;0.39;21.88;0.0;0.0;9169.91;-9169.91;-0.46;37826.7;3246.4;0.0;-6.03;-0.1;3.36;0.0;0.0
20;09:30;0.49;21.77;0.0;0.0;9573.98;-9573.98;-0.48;34140.1;2282.5;0.0;-5.88;-0.1;3.38;0.0;0.0
21;10:00;0.2;21.51;0.0;0.0;4969.7;-4969.7;9.94;31448.3;1969.7;0.0;-5.63;4.0;3.43;0.0;0.0
22;10:30;0.35;21.37;0.0;0.0;7563.98;-7563.98;15.13;29819.9;2353.0;0.13;-5.28;4.0;3.49;0.0;0.0
23;11:00;0.56;21.37;0.0;0.0;11891.76;-11891.76;49.35;29371.1;3496.3;0.13;-4.98;8.3;3.54;0.0;0.0
24;11:30;0.52;21.34;0.0;0.0;13187.46;-13187.46;54.73;30183.2;5452.0;0.16;-4.73;8.3;3.59;0.0;0.0
25;12:00;0.31;21.2;0.0;0.0;10774.86;-10774.86;38.25;28257.7;6138.4;0.3;-4.58;7.1;3.62;0.0;0.0
26;12:30;0.43;21.2;0.0;0.0;11985.43;-11985.43;42.55;23405.9;5467.9;0.3;-4.53;7.1;3.63;0.0;0.0
27;13:00;0.66;21.36;0.0;0.0;14745.92;-14745.92;-12.53;21909.6;4917.9;0.14;-4.45;-1.7;3.64;0.0;0.0
28;13:30;0.71;21.54;0.0;0.0;15104.65;-15104.65;-12.84;24000.4;4496.6;0.0;-4.35;-1.7;3.66;0.0;0.0
29;14:00;0.55;21.58;0.0;0.0;12329.48;-12329.48;-10.48;26921.9;4024.0;0.0;-4.25;-1.7;3.67;0.0;0.0
30;14:30;0.28;21.39;0.0;0.0;7750.37;-7750.37;-6.59;30731.4;3496.4;0.11;-4.15;-1.7;3.69;0.0;0.0
31;15:00;0.67;21.47;0.0;0.0;13981.69;-13981.69;-23.77;30548.3;3972.2;0.03;-4.08;-3.4;3.71;0.0;0.0
32;15:30;0.82;21.7;0.0;0.0;17846.15;-17846.15;-30.34;26097.3;5520.6;0.0;-4.03;-3.4;3.72;0.0;0.0
33;16:00;0.54;21.76;0.0;0.0;14065.41;-14065.41;-7.03;24973.2;5998.4;0.0;-3.95;-1.0;3.73;0.0;0.0
34;16:30;1.0;22.1;0.0;0.0;20331.65;-20331.65;-10.17;27405.5;5331.6;0.0;-3.85;-1.0;3.75;0.0;0.0
35;17:00;0.2;21.9;0.0;0.0;8007.67;-8007.67;47.65;27546.3;5007.7;0.0;-3.8;11.9;3.76;0.0;0.0
36;17:30;0.2;21.73;0.0;0.0;8050.11;-8050.11;47.9;25237.4;5050.1;0.0;-3.8;11.9;3.76;0.0;0.0
37;18:00;0.2;21.57;0.0;0.0;8023.49;-8023.49;39.32;24699.1;5023.5;0.0;-3.87;9.8;3.74;0.0;0.0
38;18:30;0.82;21.8;0.0;0.0;17182.55;-17182.55;84.19;26053.5;4923.0;0.0;-4.02;9.8;3.72;0.0;0.0
39;19:00;0.0;21.49;0.0;0.0;4622.43;-4622.43;30.74;25890.1;4622.4;0.01;-3.91;13.3;3.74;0.0;0.0
40;19:30;0.0;21.2;0.0;0.0;4107.83;-4107.83;27.32;24104.3;4107.8;0.3;-3.51;13.3;3.81;0.0;0.0
41;20:00;0.38;21.2;0.0;0.0;9613.85;-9613.85;38.46;21793.9;3964.8;0.3;-3.01;8.0;3.9;0.0;0.0
42;20:30;0.32;21.2;0.0;0.0;8998.15;-8998.15;35.99;18922.7;4219.2;0.3;-2.41;8.0;4.01;0.0;0.0
43;21:00;0.27;21.2;0.0;0.0;8847.73;-8847.73;34.06;16361.6;4808.2;0.3;-1.86;7.7;4.11;0.0;0.0
44;21:30;0.58;21.46;0.0;0.0;14411.68;-14411.68;55.48;14132.1;5755.2;0.04;-1.36;7.7;4.2;0.0;0.0
