timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;22.52;124.57;0.0;0.0;3320.87;-3320.87;-2.49;2165.8;0.0;320.9;0.02;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.23;0.0;22.59;124.14;0.0;0.0;887.95;-887.95;-0.67;1937.6;0.0;183.9;0.09;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.2;0.0;22.63;123.71;0.0;0.0;712.28;-712.28;-1.32;1862.0;0.0;112.3;0.13;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;22.66;123.28;0.0;0.0;716.22;-716.22;-1.33;1915.4;0.0;116.2;0.16;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;22.68;122.85;0.0;0.0;717.29;-717.29;-2.04;2133.7;0.0;117.3;0.18;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;22.67;122.42;0.0;0.0;711.46;-711.46;-2.03;2470.5;0.0;111.5;0.17;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.0;1.0;22.45;157.87;0.0;0.0;3115.5;-3115.5;-10.44;2869.2;0.0;115.5;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;1.0;22.19;192.03;0.0;0.0;3125.72;-3125.72;-10.47;3345.6;0.0;125.7;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;1.0;0.0;22.8;191.6;0.0;0.0;3139.79;-3139.79;-8.95;3541.3;0.0;139.8;0.3;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.32;0.0;22.8;191.17;0.0;0.0;1112.39;-1112.39;-3.17;3575.4;0.0;160.2;0.3;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.2;0.0;22.7;190.74;0.0;0.0;925.72;-925.72;-1.06;3569.3;0.0;325.7;0.2;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.44;0.0;22.8;190.31;0.0;0.0;1965.8;-1965.8;-2.26;3502.0;0.0;646.7;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.34;0.0;22.8;189.88;0.0;0.0;1930.83;-1930.83;-25.68;3726.3;0.0;903.6;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.41;0.0;22.8;189.45;0.0;0.0;2321.2;-2321.2;-30.87;4341.8;0.0;1105.6;0.3;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.4;0.0;22.77;179.34;0.0;0.0;2252.43;-2252.43;-20.83;4679.2;1011.5;1051.5;0.27;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.2;0.0;22.55;178.91;0.0;0.0;1294.66;-1294.66;-11.98;4867.2;0.0;694.7;0.05;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.2;0.0;22.3;178.48;0.0;0.0;1075.81;-1075.81;-4.57;5372.5;0.0;475.8;0.0;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.2;0.0;21.98;178.05;0.0;0.0;997.05;-997.05;-4.24;6138.6;0.0;397.0;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
