timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;1.0;21.6;168.83;0.0;0.0;3129.57;-3129.57;15.65;1952.6;0.0;129.6;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;1.0;0.0;22.4;168.4;0.0;0.0;3122.91;-3122.91;15.61;2205.0;0.0;122.9;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.0;0.2;22.21;176.82;0.0;0.0;724.91;-724.91;4.31;2416.3;0.0;124.9;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.0;0.63;22.02;204.41;0.0;0.0;2032.77;-2032.77;12.1;2494.1;0.0;133.2;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.42;0.0;22.22;203.98;0.0;0.0;1398.75;-1398.75;6.71;2684.5;0.0;135.7;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;22.19;203.55;0.0;0.0;727.9;-727.9;3.49;2875.4;0.0;127.9;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.2;0.0;22.15;203.12;0.0;0.0;717.61;-717.61;2.8;2933.0;0.0;117.6;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.2;0.0;22.13;202.69;0.0;0.0;705.63;-705.63;2.75;2837.7;0.0;105.6;0.0;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.2;0.0;22.09;202.26;0.0;0.0;701.79;-701.79;3.05;2957.0;0.0;101.8;0.0;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;1.0;0.0;22.8;201.83;0.0;0.0;3108.38;-3108.38;13.52;3383.4;0.0;108.4;0.3;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.0;1.0;22.53;245.9;0.0;0.0;3116.92;-3116.92;14.03;3433.2;0.0;116.9;0.03;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.51;0.0;22.8;245.47;0.0;0.0;1673.9;-1673.9;7.53;3058.3;0.0;132.2;0.3;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.2;0.0;22.75;245.04;0.0;0.0;1074.75;-1074.75;9.94;3113.4;0.0;474.8;0.25;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.32;0.0;22.8;244.61;0.0;0.0;2147.41;-2147.41;19.86;3516.9;0.0;1180.2;0.3;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;22.47;242.3;0.0;0.0;1497.56;-1497.56;24.41;4272.4;196.7;1497.6;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.0;22.08;157.77;0.0;0.0;1410.16;-1410.16;22.99;5028.5;8790.0;1410.2;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;0.21;0.0;21.87;157.34;0.0;0.0;1751.81;-1751.81;24.88;5354.9;0.0;1134.7;0.0;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;0.87;0.0;22.35;156.91;0.0;0.0;3298.97;-3298.97;46.85;4858.1;0.0;694.1;0.0;-0.73;28.4;4.31;1.61;0.0;0.0
19;09:00;0.2;0.0;22.17;156.48;0.0;0.0;1045.0;-1045.0;13.95;4898.3;0.0;445.0;0.0;-0.68;26.7;4.32;1.62;0.0;0.0
20;09:30;0.2;0.0;21.95;156.05;0.0;0.0;1040.87;-1040.87;13.9;5492.0;0.0;440.9;0.0;-0.63;26.7;4.33;1.63;0.0;0.0
21;10:00;0.75;0.0;22.26;155.62;0.0;0.0;2841.35;-2841.35;38.22;5665.8;0.0;596.2;0.0;-0.58;26.9;4.34;1.64;0.0;0.0
22;10:30;0.2;0.0;22.04;155.19;0.0;0.0;1528.55;-1528.55;20.56;5459.0;0.0;928.5;0.0;-0.53;26.9;4.35;1.65;0.0;0.0
