timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.0;21.58;124.57;0.0;0.0;143.7;-143.7;0.72;2127.3;0.0;143.7;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;1.0;0.0;22.37;124.14;0.0;0.0;3143.11;-3143.11;15.72;2388.0;0.0;143.1;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.2;0.0;22.35;123.71;0.0;0.0;744.81;-744.81;4.43;2772.5;0.0;144.8;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.2;0.0;22.29;123.28;0.0;0.0;744.85;-744.85;4.43;3267.5;0.0;144.8;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.2;0.0;22.21;122.85;0.0;0.0;744.52;-744.52;3.57;3505.7;0.0;144.5;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;22.14;122.42;0.0;0.0;736.92;-736.92;3.54;3472.1;0.0;136.9;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.2;0.0;22.06;121.99;0.0;0.0;728.39;-728.39;2.84;3451.8;0.0;128.4;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.2;0.0;22.0;121.56;0.0;0.0;718.93;-718.93;2.8;3386.8;0.0;118.9;0.0;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.38;0.0;22.1;121.13;0.0;0.0;1274.91;-1274.91;5.55;3409.4;0.0;138.2;0.0;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;1.0;0.0;22.8;120.69;0.0;0.0;3187.94;-3187.94;13.87;3511.3;0.0;187.9;0.3;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.29;0.0;22.8;120.26;0.0;0.0;1458.95;-1458.95;6.57;3640.4;0.0;592.0;0.3;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.2;0.0;22.71;119.83;0.0;0.0;1977.34;-1977.34;8.9;3649.6;0.0;1377.3;0.21;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.2;0.0;22.62;119.4;0.0;0.0;2399.63;-2399.63;22.2;3770.9;0.0;1799.6;0.12;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.5;0.0;22.8;118.97;0.0;0.0;3324.63;-3324.63;30.75;4048.1;0.0;1816.2;0.3;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.2;0.0;22.68;109.54;0.0;0.0;2127.96;-2127.96;34.69;4127.0;940.5;1528.0;0.18;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.2;0.0;22.56;100.49;0.0;0.0;1469.67;-1469.67;23.96;4124.9;901.3;869.7;0.06;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;0.26;0.0;22.47;100.06;0.0;0.0;1288.11;-1288.11;18.29;4361.1;0.0;522.2;0.0;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;0.2;0.0;22.29;99.63;0.0;0.0;1114.7;-1114.7;15.83;4871.4;0.0;514.7;0.0;-0.73;28.4;4.31;1.61;0.0;0.0
19;09:00;0.0;0.0;21.91;99.2;0.0;0.0;716.29;-716.29;9.56;5010.5;0.0;716.3;0.0;-0.68;26.7;4.32;1.62;0.0;0.0
20;09:30;0.0;0.0;21.55;98.77;0.0;0.0;1134.87;-1134.87;15.15;4642.0;0.0;1134.9;0.0;-0.63;26.7;4.33;1.63;0.0;0.0
21;10:00;0.0;0.0;21.2;98.34;0.0;0.0;1194.74;-1194.74;16.07;4489.1;0.0;1194.7;0.3;-0.58;26.9;4.34;1.64;0.0;0.0
22;10:30;1.0;0.0;21.86;97.91;0.0;0.0;3826.64;-3826.64;51.47;4425.5;0.0;826.6;0.0;-0.53;26.9;4.35;1.65;0.0;0.0
23;11:00;0.2;0.0;21.72;97.48;0.0;0.0;1636.51;-1636.51;24.63;4306.2;0.0;1036.5;0.0;-0.5;30.1;4.35;1.65;0.0;0.0
24;11:30;0.9;0.0;22.31;93.47;0.0;0.0;4557.91;-4557.91;68.6;4049.8;374.1;1854.0;0.0;-0.5;30.1;4.35;1.65;0.0;0.0
25;12:00;0.2;0.0;22.18;93.04;0.0;0.0;2472.45;-2472.45;36.47;4220.9;0.0;1872.5;0.0;-0.52;29.5;4.35;1.65;0.0;0.0
26;12:30;1.0;0.0;22.8;90.57;0.0;0.0;4066.32;-4066.32;59.98;4891.2;212.8;1066.3;0.3;-0.57;29.5;4.34;1.64;0.0;0.0
27;13:00;0.2;0.0;22.6;90.14;0.0;0.0;1337.52;-1337.52;18.99;5208.9;0.0;737.5;0.1;-0.65;28.4;4.32;1.62;0.0;0.0
28;13:30;0.62;0.0;22.8;89.71;0.0;0.0;2761.67;-2761.67;39.22;5305.3;0.0;901.1;0.3;-0.75;28.4;4.31;1.61;0.0;0.0
29;14:00;0.4;0.0;22.8;89.28;0.0;0.0;2168.01;-2168.01;29.92;5073.0;0.0;974.3;0.3;-0.85;27.6;4.29;1.59;0.0;0.0
30;14:30;0.3;0.0;22.74;88.85;0.0;0.0;1872.85;-1872.85;25.85;4615.5;0.0;959.7;0.24;-0.95;27.6;4.27;1.57;0.0;0.0
31;15:00;0.2;0.0;22.57;88.42;0.0;0.0;1372.38;-1372.38;19.14;4764.2;0.0;772.4;0.07;-0.98;27.9;4.26;1.56;0.0;0.0
32;15:30;0.2;0.0;22.35;85.03;0.0;0.0;1036.36;-1036.36;14.46;5398.6;309.6;436.4;0.0;-0.93;27.9;4.27;1.57;0.0;0.0
33;16:00;0.2;0.0;22.12;84.6;0.0;0.0;1096.74;-1096.74;15.63;5456.0;0.0;496.7;0.0;-0.95;28.5;4.27;1.57;0.0;0.0
34;16:30;0.2;0.0;21.93;84.16;0.0;0.0;1551.44;-1551.44;22.11;4983.4;0.0;951.4;0.0;-1.05;28.5;4.25;1.55;0.0;0.0
35;17:00;0.2;0.0;21.77;83.73;0.0;0.0;1679.85;-1679.85;26.79;4637.5;0.0;1079.8;0.0;-1.15;31.9;4.23;1.53;0.0;0.0
36;17:30;1.0;0.0;22.39;83.3;0.0;0.0;3836.78;-3836.78;61.2;4543.6;0.0;836.8;0.0;-1.25;31.9;4.22;1.52;0.0;0.0
37;18:00;0.0;0.0;22.04;82.87;0.0;0.0;690.1;-690.1;10.77;4468.8;0.0;690.1;0.0;-1.32;31.2;4.2;1.5;0.0;0.0
38;18:30;0.0;0.0;21.71;82.44;0.0;0.0;620.7;-620.7;9.68;4244.1;0.0;620.7;0.0;-1.37;31.2;4.19;1.49;0.0;0.0
39;19:00;0.0;0.0;21.43;82.01;0.0;0.0;680.63;-680.63;10.86;3715.8;0.0;680.6;0.07;-1.38;31.9;4.19;1.49;0.0;0.0
40;19:30;0.0;0.0;21.2;81.58;0.0;0.0;869.5;-869.5;13.87;2904.0;0.0;869.5;0.3;-1.33;31.9;4.2;1.5;0.0;0.0
41;20:00;0.21;0.0;21.2;79.41;0.0;0.0;1584.16;-1584.16;22.57;2653.1;181.6;942.2;0.3;-1.32;28.5;4.2;1.5;0.0;0.0
42;20:30;0.25;0.0;21.2;78.98;0.0;0.0;1644.47;-1644.47;23.43;3065.8;0.0;902.6;0.3;-1.37;28.5;4.19;1.49;0.0;0.0
43;21:00;0.33;0.0;21.26;78.55;0.0;0.0;1750.88;-1750.88;21.97;3315.6;0.0;747.4;0.24;-1.4;25.1;4.19;1.49;0.0;0.0
44;21:30;0.2;0.0;21.2;78.12;0.0;0.0;1116.41;-1116.41;14.01;3310.1;0.0;516.4;0.3;-1.4;25.1;4.19;1.49;0.0;0.0
45;22:00;0.42;0.0;21.38;77.69;0.0;0.0;1612.24;-1612.24;16.12;2924.2;0.0;339.9;0.12;-1.47;20.0;4.17;1.47;0.0;0.0
46;22:30;0.0;0.0;21.2;77.26;0.0;0.0;219.69;-219.69;2.2;2297.2;0.0;219.7;0.3;-1.62;20.0;4.15;1.45;0.0;0.0
47;23:00;0.52;0.0;21.53;76.83;0.0;0.0;1712.27;-1712.27;11.22;2054.7;0.0;150.5;0.0;-1.75;13.1;4.13;1.43;0.0;0.0
48;23:30;0.0;0.46;21.35;95.0;0.0;0.0;1524.21;-1524.21;9.98;2337.9;0.0;142.7;0.0;-1.85;13.1;4.11;1.41;0.0;0.0
