id of the run;Costs;Peak Load;Weight Costs;Weight Peak Load;MIP Gap;Solving time
1.0;-11869.0;247133.0;0.99;0.01;-0.12;602.0
2.0;-1887.0;110061.0;0.01;0.99;0.06;2.0
3.0;-8806.0;163959.0;0.9321;0.0679;0.1;56.0
4.0;-10722.0;207019.0;0.9645;0.0355;-0.27;601.0
5.0;-11578.0;232781.0;0.9722;0.0278;-0.25;602.0
6.0;-11672.0;236529.0;0.9801;0.0199;-0.18;601.0
7.0;-11738.0;239710.0;0.9818;0.0182;-0.1;588.0
8.0;-11579.0;232781.0;0.9755;0.0245;-0.17;601.0
9.0;-1507.0;110023.0;0.0;1.0;0.03;3.0
10.0;-8244.0;156715.0;0.9242;0.0758;0.1;85.0
11.0;-9645.0;180017.0;0.958;0.042;-0.44;601.0
12.0;-8806.0;163959.0;0.9433;0.0567;0.1;74.0
13.0;-9488.0;176449.0;0.9503;0.0497;-1.27;605.0
14.0;-9086.0;168975.0;0.9482;0.0518;1.0;601.0
15.0;-8866.0;165009.0;0.9471;0.0529;0.1;155.0
16.0;-8818.0;164151.0;0.9461;0.0539;0.06;55.0
17.0;-8497.0;159957.0;0.9281;0.0719;0.1;40.0
18.0;-5403.0;129407.0;0.8739;0.1261;0.07;9.0
19.0;-6958.0;142702.0;0.9058;0.0942;0.08;15.0
20.0;-7740.0;150880.0;0.9159;0.0841;0.09;16.0
21.0;-7998.0;153798.0;0.9205;0.0795;0.08;28.0
22.0;-8123.0;155257.0;0.9223;0.0777;0.07;300.0
23.0;-7871.0;152339.0;0.9187;0.0813;0.08;19.0
24.0;-7788.0;151418.0;0.9176;0.0824;0.1;17.0
25.0;-7220.0;145389.0;0.9126;0.0874;0.09;14.0
26.0;-7030.0;143421.0;0.9111;0.0889;0.09;14.0
27.0;-6961.0;142718.0;0.9079;0.0921;0.1;28.0
28.0;-1878.0;110039.0;0.8071;0.1929;0.08;3.0
29.0;-4524.0;123393.0;0.8654;0.1346;0.09;16.0
30.0;-5750.0;131892.0;0.888;0.112;0.06;15.0
31.0;-6088.0;134729.0;0.8994;0.1006;0.03;15.0
32.0;-6442.0;137948.0;0.9014;0.0986;0.07;16.0
33.0;-6085.0;134721.0;0.8936;0.1064;0.09;15.0
34.0;-3822.0;119404.0;0.8346;0.1654;0.09;4.0
35.0;-4009.0;120395.0;0.8503;0.1497;0.1;4.0
36.0;-3925.0;119895.0;0.8533;0.1467;0.09;4.0
37.0;-4471.0;123059.0;0.8561;0.1439;0.09;7.0
38.0;-3931.0;119903.0;0.852;0.148;0.05;5.0
39.0;-4534.0;123438.0;0.8632;0.1368;0.08;20.0
40.0;-3938.0;119986.0;0.8413;0.1587;0.09;3.0
41.0;-2911.0;114806.0;0.833;0.167;0.07;3.0
42.0;-2928.0;114905.0;0.8281;0.1719;0.08;3.0
43.0;-2351.0;112204.0;0.8225;0.1775;0.07;3.0
44.0;-2931.0;114904.0;0.824;0.176;0.06;3.0
45.0;-1134.0;110039.0;0.0;1.0;0.04;3.0
46.0;-1882.0;110058.0;0.7306;0.2694;0.07;4.0
47.0;-1883.0;110064.0;0.0248;0.9752;0.06;3.0
48.0;-1874.0;109995.0;0.8206;0.1794;0.06;3.0
49.0;-6088.0;134729.0;0.8953;0.1047;0.08;12.0
50.0;-5749.0;131877.0;0.8861;0.1139;0.05;16.0
51.0;-5560.0;130524.0;0.877;0.123;0.1;9.0
52.0;-11008.0;215125.0;0.9679;0.0321;-0.29;602.0
53.0;-11003.0;214934.0;0.966;0.034;-0.27;601.0
