timeslot;time of day;simulationResult_electricalLoad_combined;simulationResult_RESGeneration_combined;simulationResult_PVGeneration_combined;simulationResult_SurplusEnergy_combined;simulationResult_costs_combined
1;00:00;110063.72;0.0;0.0;0.0;-82.55
2;00:30;110063.66;0.0;0.0;0.0;-82.55
3;01:00;110063.9;0.0;0.0;0.0;-203.62
4;01:30;110065.23;0.0;0.0;0.0;-203.62
5;02:00;110063.1;0.0;0.0;0.0;-313.68
6;02:30;110064.54;0.0;0.0;0.0;-313.68
7;03:00;110063.54;0.0;0.0;0.0;-368.71
8;03:30;110063.87;0.0;0.0;0.0;-368.71
9;04:00;110062.9;0.0;0.0;0.0;-313.68
10;04:30;110065.12;0.0;0.0;0.0;-313.69
11;05:00;110064.27;0.0;0.0;0.0;-126.57
12;05:30;110064.49;0.0;0.0;0.0;-126.57
13;06:00;110063.01;0.0;0.0;0.0;-1463.84
14;06:30;110064.16;0.0;0.0;0.0;-1463.85
15;07:00;110065.34;0.0;0.0;0.0;-1018.1
16;07:30;110064.3;0.0;0.0;0.0;-1018.09
17;08:00;110064.2;0.0;0.0;0.0;-467.77
18;08:30;110063.82;0.0;0.0;0.0;-467.77
19;09:00;110065.07;0.0;0.0;0.0;-5.5
20;09:30;110063.92;0.0;0.0;0.0;-5.5
21;10:00;110062.98;0.0;0.0;0.0;220.13
22;10:30;110064.62;0.0;0.0;0.0;220.13
23;11:00;110063.47;0.0;0.0;0.0;456.76
24;11:30;110063.36;0.0;0.0;0.0;456.76
25;12:00;110064.0;0.0;0.0;0.0;390.73
26;12:30;110063.69;0.0;0.0;0.0;390.73
27;13:00;110064.01;0.0;0.0;0.0;-93.55
28;13:30;110064.55;0.0;0.0;0.0;-93.55
29;14:00;110063.85;0.0;0.0;0.0;-93.55
30;14:30;110064.57;0.0;0.0;0.0;-93.55
31;15:00;110063.93;0.0;0.0;0.0;-187.11
32;15:30;110064.25;0.0;0.0;0.0;-187.11
33;16:00;110063.39;0.0;0.0;0.0;-55.03
34;16:30;110063.64;0.0;0.0;0.0;-55.03
35;17:00;110063.53;0.0;0.0;0.0;654.88
36;17:30;110064.76;0.0;0.0;0.0;654.89
37;18:00;110063.62;0.0;0.0;0.0;539.31
38;18:30;110064.2;0.0;0.0;0.0;539.31
39;19:00;110062.96;0.0;0.0;0.0;731.92
40;19:30;110063.81;0.0;0.0;0.0;731.92
41;20:00;110065.19;0.0;0.0;0.0;440.26
42;20:30;112414.24;0.0;0.0;0.0;449.66
43;21:00;112414.8;0.0;0.0;0.0;432.8
44;21:30;110063.53;0.0;0.0;0.0;423.74
45;22:00;46430.9;0.0;0.0;0.0;199.65
46;22:30;47648.48;0.0;0.0;0.0;204.89
47;23:00;107714.58;0.0;0.0;0.0;-193.89
48;23:30;110064.33;0.0;0.0;0.0;-198.12
