timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;1.0;21.59;164.18;0.0;0.0;3129.64;-3129.64;-2.35;2004.0;0.0;129.6;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;1.0;21.39;203.35;0.0;0.0;3133.44;-3133.44;-2.35;2611.6;0.0;133.4;0.11;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;1.0;0.0;22.09;202.92;0.0;0.0;3127.52;-3127.52;-5.79;3016.9;0.0;127.5;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;1.0;0.0;22.77;202.49;0.0;0.0;3109.37;-3109.37;-5.75;3199.7;0.0;109.4;0.27;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.0;1.0;22.52;240.14;0.0;0.0;3109.66;-3109.66;-8.86;3222.4;0.0;109.7;0.02;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;22.47;239.71;0.0;0.0;728.77;-728.77;-2.08;3068.1;0.0;128.8;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.2;0.0;22.41;239.28;0.0;0.0;747.21;-747.21;-2.5;3079.3;0.0;147.2;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.73;0.0;22.8;238.85;0.0;0.0;2357.21;-2357.21;-7.9;3430.8;0.0;161.5;0.3;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.33;0.0;22.8;238.42;0.0;0.0;1261.16;-1261.16;-3.59;3738.2;0.0;279.9;0.3;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.0;0.38;22.49;250.0;0.0;0.0;1643.07;-1643.07;-4.68;3997.0;0.0;503.4;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.77;0.0;22.8;249.57;0.0;0.0;3062.68;-3062.68;-3.52;4557.6;0.0;761.4;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.49;0.0;22.8;249.14;0.0;0.0;2508.4;-2508.4;-2.88;5439.0;0.0;1034.5;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.54;0.0;22.8;248.71;0.0;0.0;2669.52;-2669.52;-35.5;5887.6;0.0;1053.7;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.2;0.0;22.52;248.28;0.0;0.0;1418.41;-1418.41;-18.86;5761.3;0.0;818.4;0.02;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.88;0.0;22.8;233.42;0.0;0.0;3263.99;-3263.99;-30.19;5711.5;1508.0;626.4;0.3;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.37;0.0;22.67;232.99;0.0;0.0;1579.04;-1579.04;-14.61;5595.7;0.0;478.0;0.17;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.0;0.0;22.23;232.56;0.0;0.0;352.58;-352.58;-1.5;5605.3;0.0;352.6;0.0;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.0;0.0;21.79;232.13;0.0;0.0;235.71;-235.71;-1.0;5721.5;0.0;235.7;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;1.0;0.0;22.11;224.21;0.0;0.0;3300.83;-3300.83;-0.17;5890.4;782.7;300.8;0.0;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;1.0;0.0;22.4;223.78;0.0;0.0;3551.57;-3551.57;-0.18;6292.4;0.0;551.6;0.0;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;1.0;0.0;22.7;223.35;0.0;0.0;3616.13;-3616.13;7.23;6318.7;0.0;616.1;0.2;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;0.2;0.0;22.41;222.01;0.0;0.0;1112.34;-1112.34;2.22;5890.3;95.0;512.3;0.0;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;0.0;0.0;21.98;221.58;0.0;0.0;377.69;-377.69;1.57;5493.7;0.0;377.7;0.0;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.0;0.0;21.58;221.15;0.0;0.0;232.06;-232.06;0.96;5220.2;0.0;232.1;0.0;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;0.0;0.0;21.2;220.72;0.0;0.0;433.91;-433.91;1.54;4905.6;0.0;433.9;0.3;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;1.0;0.0;21.67;220.29;0.0;0.0;4009.63;-4009.63;14.23;4710.5;0.0;1009.6;0.0;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.2;0.0;21.47;219.86;0.0;0.0;1884.83;-1884.83;-1.6;4719.4;0.0;1284.8;0.03;-4.45;-1.7;3.64;1.0;0.0;0.0
28;13:30;0.45;0.0;21.45;219.43;0.0;0.0;2569.32;-2569.32;-2.18;5178.2;0.0;1226.8;0.05;-4.35;-1.7;3.66;1.0;0.0;0.0
29;14:00;0.2;0.0;21.2;219.0;0.0;0.0;1628.61;-1628.61;-1.38;5384.8;0.0;1028.6;0.3;-4.25;-1.7;3.67;1.0;0.0;0.0
30;14:30;1.0;0.0;21.63;178.7;0.0;0.0;3667.73;-3667.73;-3.12;5378.4;4166.7;667.7;0.0;-4.15;-1.7;3.69;1.0;0.0;0.0
31;15:00;1.0;0.0;22.07;178.27;0.0;0.0;3489.89;-3489.89;-5.93;5415.3;0.0;489.9;0.0;-4.08;-3.4;3.71;1.01;0.0;0.0
32;15:30;0.99;0.0;22.48;176.72;0.0;0.0;3470.84;-3470.84;-5.9;5558.0;117.2;504.1;0.0;-4.03;-3.4;3.72;1.02;0.0;0.0
33;16:00;0.0;0.0;22.05;176.29;0.0;0.0;538.47;-538.47;-0.27;5563.9;0.0;538.5;0.0;-3.95;-1.0;3.73;1.03;0.0;0.0
34;16:30;0.0;0.0;21.61;175.86;0.0;0.0;585.85;-585.85;-0.29;5690.2;0.0;585.8;0.0;-3.85;-1.0;3.75;1.05;0.0;0.0
35;17:00;0.0;0.0;21.2;175.43;0.0;0.0;764.99;-764.99;4.55;5343.4;0.0;765.0;0.3;-3.8;11.9;3.76;1.06;0.0;0.0
36;17:30;0.41;0.0;21.2;175.0;0.0;0.0;2327.57;-2327.57;13.85;4595.0;0.0;1092.2;0.3;-3.8;11.9;3.76;1.06;0.0;0.0
37;18:00;1.0;0.0;21.71;174.57;0.0;0.0;4392.92;-4392.92;21.53;4562.1;0.0;1392.9;0.0;-3.87;9.8;3.74;1.04;0.0;0.0
38;18:30;0.2;0.0;21.46;174.14;0.0;0.0;2230.57;-2230.57;10.93;5386.1;0.0;1630.6;0.04;-4.02;9.8;3.72;1.02;0.0;0.0
39;19:00;0.21;0.0;21.2;173.71;0.0;0.0;2062.61;-2062.61;13.72;5683.7;0.0;1444.9;0.3;-3.91;13.3;3.74;1.04;0.0;0.0
40;19:30;0.5;0.0;21.2;173.28;0.0;0.0;2279.02;-2279.02;15.16;5613.9;0.0;793.4;0.3;-3.51;13.3;3.81;1.11;0.0;0.0
