timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;1.0;4700.0;21.59;164.18;43.49;26.09;0.0;0.0;7830.02;-7830.02;-5.87;1999.2;0.0;130.0;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.2;0.0;4700.0;21.58;163.75;46.97;28.18;0.0;0.0;5434.5;-5434.5;-4.08;2635.8;0.0;134.5;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;1.0;0.0;0.0;22.27;163.32;46.97;28.18;0.0;0.0;3127.56;-3127.56;-5.79;3038.8;0.0;127.6;1.0;0.0;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.83;0.0;0.0;22.8;162.89;46.97;28.18;0.0;0.0;2603.56;-2603.56;-4.82;3196.1;0.0;109.7;1.0;0.0;0.3;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;4700.0;22.74;162.46;50.46;30.27;0.0;0.0;5409.24;-5409.24;-15.42;3206.0;0.0;109.2;1.0;0.0;0.24;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.0;0.2;4700.0;22.5;169.43;53.94;32.37;0.0;0.0;5430.25;-5430.25;-15.48;3037.5;0.0;130.3;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.59;0.0;4700.0;22.8;169.0;57.43;34.46;0.0;0.0;6630.33;-6630.33;-22.21;3079.9;0.0;147.4;1.0;0.0;0.3;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.3;0.0;0.0;22.8;168.57;57.43;34.46;0.0;0.0;1053.74;-1053.74;-3.53;3444.9;0.0;160.0;1.0;0.0;0.3;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.0;1.0;0.0;22.51;201.32;57.43;34.46;0.0;0.0;3281.32;-3281.32;-9.35;3714.8;0.0;281.3;1.0;0.0;0.01;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.0;1.0;1831.97;22.2;232.51;58.79;35.27;0.0;0.0;5345.6;-5345.6;-15.23;4033.1;0.0;513.6;1.0;0.0;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;1.0;0.0;0.0;22.71;232.08;58.79;35.27;0.0;0.0;3756.88;-3756.88;-4.32;4628.4;0.0;756.9;1.0;0.0;0.21;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.6;0.0;0.0;22.8;231.65;58.79;35.27;0.0;0.0;2838.86;-2838.86;-3.26;5424.3;0.0;1035.3;1.0;0.0;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.46;0.0;0.0;22.74;231.22;58.79;35.27;0.0;0.0;2440.54;-2440.54;-32.46;5894.3;0.0;1046.4;1.0;0.0;0.24;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.2;0.0;0.0;22.46;230.79;58.79;35.27;0.0;0.0;1413.31;-1413.31;-18.8;5718.4;0.0;813.3;1.0;0.0;0.0;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.84;0.0;0.0;22.71;216.44;58.79;35.27;0.0;0.0;3144.51;-3144.51;-29.09;5682.8;1454.6;626.0;1.0;0.0;0.21;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.2;0.0;0.0;22.44;216.01;58.79;35.27;0.0;0.0;1075.25;-1075.25;-9.95;5637.0;0.0;475.3;1.0;0.0;0.0;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;1.0;0.0;0.0;22.8;215.58;58.02;34.81;0.0;0.0;3346.78;-3346.78;-14.22;5656.1;0.0;346.8;0.0;1654545.4545454544;0.3;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.2;0.0;0.0;22.52;215.15;57.26;34.35;0.0;0.0;834.36;-834.36;-3.55;5610.3;0.0;234.4;0.0;1654545.4545454544;0.02;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;0.95;0.0;0.0;22.8;207.16;56.49;33.89;0.0;0.0;3155.87;-3155.87;-0.16;5915.9;790.5;299.6;0.0;1654545.4545454544;0.3;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;0.2;0.0;0.0;22.46;206.73;55.72;33.43;0.0;0.0;1151.78;-1151.78;-0.06;6363.6;0.0;551.8;0.0;1654545.4545454544;0.0;-5.88;-0.1;3.38;1.0;0.0;0.0
