timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.0;4700.0;21.58;124.57;43.49;26.09;0.0;0.0;4822.03;-4822.03;-3.62;2159.4;0.0;122.0;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.36;0.0;4700.0;21.73;124.14;46.97;28.18;0.0;0.0;5895.43;-5895.43;-4.42;2374.9;0.0;122.0;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.0;1.0;0.0;21.53;163.07;46.97;28.18;0.0;0.0;3122.03;-3122.03;-5.78;2576.2;0.0;122.0;1.0;0.0;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;1.0;0.0;0.0;22.25;162.64;46.97;28.18;0.0;0.0;3122.03;-3122.03;-5.78;2762.4;0.0;122.0;1.0;0.0;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;0.0;22.2;162.21;46.97;28.18;0.0;0.0;729.32;-729.32;-2.08;2937.2;0.0;129.3;1.0;0.0;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;0.0;22.15;161.77;46.97;28.18;0.0;0.0;744.42;-744.42;-2.12;3099.9;0.0;144.4;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;1.0;0.0;0.0;22.8;161.34;46.97;28.18;0.0;0.0;3152.21;-3152.21;-10.56;3256.0;0.0;152.2;1.0;0.0;0.3;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;1.0;0.0;22.54;195.51;46.97;28.18;0.0;0.0;3152.21;-3152.21;-10.56;3405.1;0.0;152.2;1.0;0.0;0.04;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.0;0.2;4700.0;22.26;201.71;50.46;30.27;0.0;0.0;5592.01;-5592.01;-15.94;3520.9;0.0;292.0;1.0;0.0;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.3;0.0;0.0;22.25;201.28;50.46;30.27;0.0;0.0;1483.03;-1483.03;-4.23;3601.1;0.0;581.2;1.0;0.0;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;1.0;0.0;0.0;22.8;200.85;50.46;30.27;0.0;0.0;3840.38;-3840.38;-4.42;3991.4;0.0;840.4;1.0;0.0;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.43;0.0;0.0;22.8;200.42;50.46;30.27;0.0;0.0;2346.27;-2346.27;-2.7;4713.4;0.0;1067.4;1.0;0.0;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.49;0.0;0.0;22.8;199.99;50.46;30.27;0.0;0.0;2501.45;-2501.45;-33.27;5318.2;0.0;1040.8;1.0;0.0;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.22;0.0;0.0;22.54;199.56;50.46;30.27;0.0;0.0;1415.64;-1415.64;-18.83;5797.8;0.0;743.0;1.0;0.0;0.04;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.2;0.0;0.0;22.24;155.51;50.46;30.27;0.0;0.0;1133.88;-1133.88;-10.49;6005.8;4559.2;533.9;1.0;0.0;0.0;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.2;0.0;0.0;21.94;135.69;50.46;30.27;0.0;0.0;1019.39;-1019.39;-9.43;5923.3;2026.5;419.4;1.0;0.0;0.0;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;1.0;0.0;0.0;22.27;135.04;50.46;30.27;0.0;0.0;3313.93;-3313.93;-14.08;6116.5;22.7;313.9;1.0;0.0;0.0;-5.34;-8.5;3.48;1.0;0.0;0.0
