timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.95;4700.0;21.59;162.0;43.49;26.09;0.0;0.0;7665.46;-7665.46;-5.75;1994.2;0.0;130.2;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.56;0.0;4700.0;21.92;161.57;46.97;28.18;0.0;0.0;6519.39;-6519.39;-4.89;2586.5;0.0;134.3;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;1.0;0.0;4700.0;22.62;161.14;50.46;30.27;0.0;0.0;7826.22;-7826.22;-14.48;3018.9;0.0;126.2;1.0;0.0;0.12;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.0;1.0;0.0;22.37;199.55;50.46;30.27;0.0;0.0;3108.8;-3108.8;-5.75;3203.4;0.0;108.8;1.0;0.0;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.0;1.0;0.0;22.12;237.2;50.46;30.27;0.0;0.0;3109.96;-3109.96;-8.86;3217.9;0.0;110.0;1.0;0.0;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;1.0;0.0;0.0;22.8;236.77;50.46;30.27;0.0;0.0;3129.68;-3129.68;-8.92;3050.0;0.0;129.7;1.0;0.0;0.3;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.0;0.2;0.0;22.56;243.51;50.46;30.27;0.0;0.0;744.68;-744.68;-2.49;3116.0;0.0;144.7;1.0;0.0;0.06;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;0.2;0.0;22.29;250.0;50.46;30.27;0.0;0.0;762.0;-762.0;-2.55;3427.0;0.0;162.0;1.0;0.0;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.26;0.0;4700.0;22.24;249.57;53.94;32.37;0.0;0.0;5774.29;-5774.29;-16.46;3714.8;0.0;283.5;1.0;0.0;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;1.0;0.0;0.0;22.8;249.14;53.94;32.37;0.0;0.0;3512.92;-3512.92;-10.01;4017.7;0.0;512.9;1.0;0.0;0.3;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.42;0.0;0.0;22.8;248.71;53.94;32.37;0.0;0.0;2012.03;-2012.03;-2.31;4643.1;0.0;764.0;1.0;0.0;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.5;0.0;0.0;22.8;248.28;53.94;32.37;0.0;0.0;2515.41;-2515.41;-2.89;5489.6;0.0;1027.7;1.0;0.0;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.2;0.0;0.0;22.52;247.85;53.94;32.37;0.0;0.0;1639.67;-1639.67;-21.81;5840.6;0.0;1039.7;1.0;0.0;0.02;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.42;0.0;0.0;22.42;247.42;53.94;32.37;0.0;0.0;2061.82;-2061.82;-27.42;5755.3;0.0;814.4;0.5;0.0;0.0;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;1.0;0.0;0.0;22.8;232.52;53.1;31.86;0.0;0.0;3620.05;-3620.05;-33.49;5662.0;1511.9;620.0;0.0;1827272.7272727273;0.3;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.54;0.0;0.0;22.8;232.09;52.25;31.35;0.0;0.0;2078.3;-2078.3;-19.22;5631.3;0.0;473.0;0.0;1827272.7272727273;0.3;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.2;0.0;0.0;22.53;231.66;51.41;30.84;0.0;0.0;947.61;-947.61;-4.03;5599.4;0.0;347.6;0.0;1827272.7272727273;0.03;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.2;0.0;0.0;22.24;231.23;50.56;30.34;0.0;0.0;837.34;-837.34;-3.56;5702.3;0.0;237.3;0.0;1827272.7272727273;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;1.0;0.0;0.0;22.56;223.53;49.71;29.83;0.0;0.0;3302.36;-3302.36;-0.17;5891.1;759.5;302.4;0.0;1827272.7272727273;0.06;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;0.55;0.0;0.0;22.5;223.1;48.87;29.32;0.0;0.0;2194.16;-2194.16;-0.11;6331.7;0.0;548.4;0.0;1827272.7272727273;0.0;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;1.0;0.0;0.0;22.8;222.67;48.02;28.81;0.0;0.0;3619.33;-3619.33;7.24;6281.1;0.0;619.3;0.0;1827272.7272727273;0.3;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;0.56;0.0;0.0;22.8;221.4;47.18;28.31;0.0;0.0;2205.67;-2205.67;4.41;5869.6;88.3;510.7;0.0;1827272.7272727273;0.3;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;0.0;0.0;0.0;22.38;220.97;46.33;27.8;0.0;0.0;380.48;-380.48;1.58;5429.8;0.0;380.5;0.0;1827272.7272727273;0.0;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.0;0.0;0.0;21.98;220.54;45.48;27.29;0.0;0.0;230.72;-230.72;0.96;5223.1;0.0;230.7;0.0;1827272.7272727273;0.0;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;0.0;0.0;0.0;21.59;220.11;44.64;26.78;0.0;0.0;431.03;-431.03;1.53;5016.9;0.0;431.0;0.0;1827272.7272727273;0.0;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.2;0.0;0.0;21.4;219.68;43.79;26.28;0.0;0.0;1611.32;-1611.32;5.72;4651.5;0.0;1011.3;0.0;1827272.7272727273;0.1;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.2;0.0;0.0;21.2;219.25;42.95;25.77;0.0;0.0;1871.48;-1871.48;-1.59;4703.8;0.0;1271.5;0.0;1827272.7272727273;0.3;-4.45;-1.7;3.64;1.0;0.0;0.0
28;13:30;1.0;0.0;0.0;21.64;218.81;42.1;25.26;0.0;0.0;4225.18;-4225.18;-3.59;5203.5;0.0;1225.2;0.0;1827272.7272727273;0.0;-4.35;-1.7;3.66;1.0;0.0;0.0
29;14:00;0.56;0.0;0.0;21.69;218.38;41.25;24.75;0.0;0.0;2705.41;-2705.41;-2.3;5386.6;0.0;1029.6;0.0;1827272.7272727273;0.0;-4.25;-1.7;3.67;1.0;0.0;0.0
30;14:30;0.2;0.0;0.0;21.45;177.06;40.41;24.24;0.0;0.0;1269.88;-1269.88;-1.08;5371.0;4274.4;669.9;0.0;1827272.7272727273;0.05;-4.15;-1.7;3.69;1.0;0.0;0.0
31;15:00;0.2;0.0;0.0;21.2;176.63;40.41;24.24;0.0;0.0;1084.28;-1084.28;-1.84;5441.0;0.0;484.3;1.0;0.0;0.3;-4.08;-3.4;3.71;1.01;0.0;0.0
32;15:30;1.0;0.0;0.0;21.63;174.99;40.41;24.24;0.0;0.0;3501.97;-3501.97;-5.95;5495.2;126.1;502.0;1.0;0.0;0.0;-4.03;-3.4;3.72;1.02;0.0;0.0
33;16:00;0.0;0.0;0.0;21.2;174.56;40.41;24.24;0.0;0.0;528.55;-528.55;-0.26;5518.8;0.0;528.5;0.8333333333333334;0.0;0.3;-3.95;-1.0;3.73;1.03;0.0;0.0
34;16:30;1.0;0.0;0.0;21.62;174.13;39.56;23.74;0.0;0.0;3582.39;-3582.39;-1.79;5705.5;0.0;582.4;0.0;1827272.7272727273;0.0;-3.85;-1.0;3.75;1.05;0.0;0.0
35;17:00;0.4;0.0;0.0;21.55;173.7;38.72;23.23;0.0;0.0;1966.85;-1966.85;11.7;5372.2;0.0;774.0;0.0;1827272.7272727273;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
36;17:30;0.2;0.0;0.0;21.37;173.27;37.87;22.72;0.0;0.0;1688.09;-1688.09;10.04;4576.5;0.0;1088.1;0.0;1827272.7272727273;0.13;-3.8;11.9;3.76;1.06;0.0;0.0
37;18:00;1.0;0.0;0.0;21.88;172.84;37.02;22.21;0.0;0.0;4378.97;-4378.97;21.46;4504.0;0.0;1379.0;0.0;1827272.7272727273;0.0;-3.87;9.8;3.74;1.04;0.0;0.0
38;18:30;0.2;0.0;0.0;21.64;172.41;36.18;21.71;0.0;0.0;2220.61;-2220.61;10.88;5352.3;0.0;1620.6;0.0;1827272.7272727273;0.0;-4.02;9.8;3.72;1.02;0.0;0.0
39;19:00;0.0;0.0;0.0;21.2;171.98;36.18;21.71;0.0;0.0;1431.47;-1431.47;9.52;5693.3;0.0;1431.5;0.9666666666666667;0.0;0.3;-3.91;13.3;3.74;1.04;0.0;0.0
40;19:30;0.5;0.0;0.0;21.2;171.55;36.18;21.71;0.0;0.0;2293.94;-2293.94;15.25;5657.5;0.0;796.6;1.0;0.0;0.3;-3.51;13.3;3.81;1.11;0.0;0.0
41;20:00;0.47;0.0;0.0;21.2;169.63;36.18;21.71;0.0;0.0;1973.7;-1973.7;7.89;5502.3;155.8;550.8;1.0;0.0;0.3;-3.01;8.0;3.9;1.2;0.0;0.0
42;20:30;0.43;0.0;2350.0;21.2;169.2;37.92;22.75;0.0;0.0;4353.03;-4353.03;17.41;5141.9;0.0;708.2;1.0;0.0;0.3;-2.41;8.0;4.01;1.31;0.0;0.0
43;21:00;0.9;0.0;2350.0;21.67;168.77;39.66;23.8;0.0;0.0;5839.57;-5839.57;22.48;4891.2;0.0;787.2;1.0;0.0;0.0;-1.86;7.7;4.11;1.41;0.0;0.0
44;21:30;0.2;0.0;2350.0;21.5;92.63;41.41;24.84;0.0;0.0;3731.11;-3731.11;14.36;4727.9;7913.3;781.1;1.0;0.0;0.0;-1.36;7.7;4.2;1.5;0.0;0.0
45;22:00;0.0;0.0;0.0;21.2;92.2;41.41;24.84;0.0;0.0;627.33;-627.33;2.7;3857.7;0.0;627.3;1.0;0.0;0.3;-0.98;8.6;4.26;1.56;0.0;0.0
46;22:30;0.2;0.0;0.0;21.21;91.77;41.41;24.84;0.0;0.0;929.94;-929.94;4.0;2384.9;0.0;329.9;1.0;0.0;0.29;-0.73;8.6;4.31;1.61;0.0;0.0
47;23:00;0.45;0.0;0.0;21.52;91.34;41.41;24.84;0.0;0.0;1508.06;-1508.06;-2.71;1789.8;0.0;156.6;1.0;0.0;0.0;-0.48;-3.6;4.35;1.65;0.0;0.0
48;23:30;0.0;1.0;0.0;21.35;139.66;41.41;24.84;0.0;0.0;3113.68;-3113.68;-5.6;2200.0;0.0;113.7;1.0;0.0;0.15;-0.23;-3.6;4.4;1.7;0.0;0.0
