timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;0.0;21.77;124.57;0.0;0.0;721.26;-721.26;-0.54;2142.4;0.0;121.3;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;0.7;21.59;151.77;0.0;0.0;2214.32;-2214.32;-1.66;2339.4;0.0;121.2;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.85;0.0;22.19;151.34;0.0;0.0;2681.47;-2681.47;-4.96;2535.9;0.0;121.9;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.68;0.0;22.61;150.91;0.0;0.0;2159.3;-2159.3;-3.99;2733.8;0.0;121.7;0.11;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.0;0.2;22.38;158.1;0.0;0.0;729.61;-729.61;-2.08;2878.9;0.0;129.6;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.0;1.0;22.14;194.71;0.0;0.0;3145.51;-3145.51;-8.96;3075.3;0.0;145.5;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;1.0;0.0;22.8;194.28;0.0;0.0;3152.21;-3152.21;-10.56;3237.5;0.0;152.2;0.3;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;1.0;22.54;228.44;0.0;0.0;3152.92;-3152.92;-10.56;3376.7;0.0;152.9;0.04;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.28;0.0;22.52;228.01;0.0;0.0;1141.41;-1141.41;-3.25;3444.9;0.0;295.4;0.02;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.0;0.2;22.24;233.9;0.0;0.0;1186.39;-1186.39;-3.38;3586.7;0.0;586.4;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;1.0;0.0;22.8;233.47;0.0;0.0;3836.86;-3836.86;-4.41;3943.1;0.0;836.9;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.42;0.0;22.8;233.04;0.0;0.0;2320.88;-2320.88;-2.67;4641.1;0.0;1061.5;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.48;0.0;22.8;232.61;0.0;0.0;2484.89;-2484.89;-33.05;5283.1;0.0;1033.8;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.53;0.0;22.8;232.18;0.0;0.0;2332.78;-2332.78;-31.03;5686.9;0.0;744.3;0.3;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.2;0.0;22.51;190.12;0.0;0.0;1134.96;-1134.96;-10.5;5905.6;4351.3;535.0;0.01;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.24;0.0;22.25;171.54;0.0;0.0;1133.44;-1133.44;-10.48;5840.3;1897.1;419.7;0.0;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;1.0;0.0;22.58;170.91;0.0;0.0;3310.38;-3310.38;-14.07;6046.8;20.9;310.4;0.08;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.2;0.0;22.23;164.65;0.0;0.0;818.82;-818.82;-3.48;6611.9;608.9;218.8;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;1.0;0.0;22.49;164.22;0.0;0.0;3313.31;-3313.31;-0.17;6621.9;0.0;313.3;0.0;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;1.0;0.0;22.8;126.91;0.0;0.0;3610.14;-3610.14;-0.18;6045.0;3855.4;610.1;0.3;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;0.55;0.0;22.8;126.48;0.0;0.0;2356.22;-2356.22;4.71;5657.2;0.0;692.1;0.3;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;0.0;0.0;22.38;126.05;0.0;0.0;558.32;-558.32;1.12;5469.5;0.0;558.3;0.0;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;1.0;0.0;22.79;125.62;0.0;0.0;3416.81;-3416.81;14.18;5174.3;0.0;416.8;0.29;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.44;0.0;22.76;125.19;0.0;0.0;1582.24;-1582.24;6.57;5121.0;0.0;262.2;0.26;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;0.2;0.0;22.56;124.76;0.0;0.0;1046.59;-1046.59;3.72;4691.9;0.0;446.6;0.06;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.2;0.0;22.42;123.73;0.0;0.0;1576.43;-1576.43;5.6;4043.8;62.0;976.4;0.0;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.0;0.0;22.11;123.3;0.0;0.0;1245.29;-1245.29;-1.06;3994.4;0.0;1245.3;0.0;-4.45;-1.7;3.64;1.0;0.0;0.0
28;13:30;0.0;0.0;21.76;122.87;0.0;0.0;1242.52;-1242.52;-1.06;4494.0;0.0;1242.5;0.0;-4.35;-1.7;3.66;1.0;0.0;0.0
29;14:00;1.0;0.0;22.24;122.44;0.0;0.0;4082.83;-4082.83;-3.47;4768.8;0.0;1082.8;0.0;-4.25;-1.7;3.67;1.0;0.0;0.0
30;14:30;1.0;0.0;22.72;122.01;0.0;0.0;3746.08;-3746.08;-3.18;4720.6;0.0;746.1;0.22;-4.15;-1.7;3.69;1.0;0.0;0.0
31;15:00;0.0;0.0;22.35;121.58;0.0;0.0;590.82;-590.82;-1.0;4753.1;0.0;590.8;0.0;-4.08;-3.4;3.71;1.01;0.0;0.0
32;15:30;0.0;0.0;21.98;121.15;0.0;0.0;594.01;-594.01;-1.01;4777.9;0.0;594.0;0.0;-4.03;-3.4;3.72;1.02;0.0;0.0
33;16:00;0.0;0.0;21.61;120.72;0.0;0.0;582.85;-582.85;-0.29;4806.6;0.0;582.9;0.0;-3.95;-1.0;3.73;1.03;0.0;0.0
34;16:30;0.2;0.0;21.41;120.29;0.0;0.0;1156.73;-1156.73;-0.58;4890.7;0.0;556.7;0.09;-3.85;-1.0;3.75;1.05;0.0;0.0
