timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.52;4700.0;21.58;145.33;43.49;26.09;0.0;0.0;6393.56;-6393.56;-4.8;2142.4;0.0;121.3;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;1.0;4700.0;21.4;184.51;46.97;28.18;0.0;0.0;7821.22;-7821.22;-5.87;2339.4;0.0;121.2;1.0;0.0;0.1;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.26;0.0;0.0;21.45;184.07;46.97;28.18;0.0;0.0;916.87;-916.87;-1.7;2535.9;0.0;121.9;1.0;0.0;0.05;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;0.0;21.42;183.64;46.97;28.18;0.0;0.0;721.7;-721.7;-1.34;2733.8;0.0;121.7;1.0;0.0;0.08;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.0;0.2;0.0;21.2;190.83;46.97;28.18;0.0;0.0;729.61;-729.61;-2.08;2878.9;0.0;129.6;1.0;0.0;0.3;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;1.0;0.0;0.0;21.88;190.4;46.97;28.18;0.0;0.0;3145.51;-3145.51;-8.96;3075.3;0.0;145.5;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.41;0.0;0.0;22.0;189.97;46.97;28.18;0.0;0.0;1387.61;-1387.61;-4.65;3237.5;0.0;152.2;1.0;0.0;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;1.0;0.0;21.74;224.13;46.97;28.18;0.0;0.0;3152.92;-3152.92;-10.56;3376.7;0.0;152.9;1.0;0.0;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.2;0.0;4700.0;21.65;223.7;50.46;30.27;0.0;0.0;5595.41;-5595.41;-15.95;3444.9;0.0;295.4;1.0;0.0;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;1.0;0.0;0.0;22.24;223.27;50.46;30.27;0.0;0.0;3586.39;-3586.39;-10.22;3586.7;0.0;586.4;1.0;0.0;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;1.0;0.0;0.0;22.8;222.84;50.46;30.27;0.0;0.0;3836.86;-3836.86;-4.41;3943.1;0.0;836.9;1.0;0.0;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.42;0.0;0.0;22.8;222.41;50.46;30.27;0.0;0.0;2320.88;-2320.88;-2.67;4641.1;0.0;1061.5;1.0;0.0;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.38;0.0;0.0;22.71;221.98;50.46;30.27;0.0;0.0;2165.99;-2165.99;-28.81;5283.1;0.0;1033.8;0.5;0.0;0.21;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.2;0.0;0.0;22.44;221.55;49.97;29.98;0.0;0.0;1344.28;-1344.28;-17.88;5686.9;0.0;744.3;0.0;1045849.8023715417;0.0;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;1.0;0.0;0.0;22.8;178.87;49.49;29.69;0.0;0.0;3534.96;-3534.96;-32.7;5905.6;4415.2;535.0;0.0;1045849.8023715417;0.3;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.46;0.0;0.0;22.73;160.29;49.0;29.4;0.0;0.0;1807.54;-1807.54;-16.72;5840.3;1897.1;419.7;0.0;1045849.8023715417;0.23;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.2;0.0;0.0;22.42;159.66;48.52;29.11;0.0;0.0;910.38;-910.38;-3.87;6046.8;20.9;310.4;0.0;1045849.8023715417;0.0;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.41;0.0;0.0;22.23;153.41;48.04;28.82;0.0;0.0;1453.92;-1453.92;-6.18;6611.9;608.9;218.8;0.0;1045849.8023715417;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;1.0;0.0;0.0;22.49;152.98;47.55;28.53;0.0;0.0;3313.31;-3313.31;-0.17;6621.9;0.0;313.3;0.0;1045849.8023715417;0.0;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;1.0;0.0;0.0;22.8;115.66;47.07;28.24;0.0;0.0;3610.14;-3610.14;-0.18;6045.0;3855.4;610.1;0.0;1045849.8023715417;0.3;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;0.55;0.0;0.0;22.8;115.23;46.58;27.95;0.0;0.0;2356.22;-2356.22;4.71;5657.2;0.0;692.1;0.0;1045849.8023715417;0.3;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;0.0;0.0;0.0;22.38;114.8;46.1;27.66;0.0;0.0;558.32;-558.32;1.12;5469.5;0.0;558.3;0.0;1045849.8023715417;0.0;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;0.0;0.0;0.0;21.98;114.37;45.62;27.37;0.0;0.0;416.81;-416.81;1.73;5174.3;0.0;416.8;0.0;1045849.8023715417;0.0;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.0;0.0;0.0;21.58;113.94;45.13;27.08;0.0;0.0;262.24;-262.24;1.09;5121.0;0.0;262.2;0.0;1045849.8023715417;0.0;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;0.2;0.0;0.0;21.39;113.51;44.65;26.79;0.0;0.0;1046.59;-1046.59;3.72;4691.9;0.0;446.6;0.0;1045849.8023715417;0.11;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.2;0.0;0.0;21.24;112.49;44.16;26.5;0.0;0.0;1576.43;-1576.43;5.6;4043.8;62.0;976.4;0.0;1045849.8023715417;0.26;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.32;0.0;0.0;21.2;112.06;43.68;26.21;0.0;0.0;2210.69;-2210.69;-1.88;3994.4;0.0;1245.3;0.0;1045849.8023715417;0.3;-4.45;-1.7;3.64;1.0;0.0;0.0
28;13:30;0.41;0.0;0.0;21.2;111.63;43.19;25.92;0.0;0.0;2483.92;-2483.92;-2.11;4494.0;0.0;1242.5;0.0;1045849.8023715417;0.3;-4.35;-1.7;3.66;1.0;0.0;0.0
29;14:00;0.62;0.0;0.0;21.35;111.19;42.71;25.63;0.0;0.0;2930.83;-2930.83;-2.49;4768.8;0.0;1082.8;0.0;1045849.8023715417;0.15;-4.25;-1.7;3.67;1.0;0.0;0.0
30;14:30;1.0;0.0;0.0;21.83;110.76;42.23;25.34;0.0;0.0;3746.08;-3746.08;-3.18;4720.6;0.0;746.1;0.0;1045849.8023715417;0.0;-4.15;-1.7;3.69;1.0;0.0;0.0
31;15:00;1.0;0.0;0.0;22.32;110.33;41.74;25.05;0.0;0.0;3590.82;-3590.82;-6.1;4753.1;0.0;590.8;0.0;1045849.8023715417;0.0;-4.08;-3.4;3.71;1.01;0.0;0.0
32;15:30;0.0;0.0;0.0;21.95;109.9;41.26;24.75;0.0;0.0;594.01;-594.01;-1.01;4777.9;0.0;594.0;0.0;1045849.8023715417;0.0;-4.03;-3.4;3.72;1.02;0.0;0.0
33;16:00;0.0;0.0;0.0;21.58;109.47;40.77;24.46;0.0;0.0;582.85;-582.85;-0.29;4806.6;0.0;582.9;0.0;1045849.8023715417;0.0;-3.95;-1.0;3.73;1.03;0.0;0.0
34;16:30;0.0;0.0;0.0;21.2;109.04;40.77;24.46;0.0;0.0;556.73;-556.73;-0.28;4890.7;0.0;556.7;1.0;0.0;0.3;-3.85;-1.0;3.75;1.05;0.0;0.0
35;17:00;1.0;0.0;0.0;21.68;108.61;40.77;24.46;0.0;0.0;3686.21;-3686.21;21.93;4887.6;0.0;686.2;1.0;0.0;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
36;17:30;0.71;0.0;0.0;21.93;108.18;40.77;24.46;0.0;0.0;3122.55;-3122.55;18.58;4770.9;0.0;979.6;1.0;0.0;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
37;18:00;0.0;0.0;0.0;21.56;107.75;40.77;24.46;0.0;0.0;1219.59;-1219.59;5.98;4792.0;0.0;1219.6;1.0;0.0;0.0;-3.87;9.8;3.74;1.04;0.0;0.0
38;18:30;0.0;0.0;0.0;21.2;103.62;40.77;24.46;0.0;0.0;1410.26;-1410.26;6.91;4685.7;386.3;1410.3;1.0;0.0;0.3;-4.02;9.8;3.72;1.02;0.0;0.0
39;19:00;0.43;0.0;0.0;21.2;103.19;40.77;24.46;0.0;0.0;2538.81;-2538.81;16.88;4768.5;0.0;1250.6;1.0;0.0;0.3;-3.91;13.3;3.74;1.04;0.0;0.0
40;19:30;0.43;0.0;0.0;21.2;102.76;40.77;24.46;0.0;0.0;2053.04;-2053.04;13.65;4857.3;0.0;766.0;1.0;0.0;0.3;-3.51;13.3;3.81;1.11;0.0;0.0
41;20:00;0.41;0.0;0.0;21.2;100.13;40.77;24.46;0.0;0.0;1777.3;-1777.3;7.11;4729.3;229.8;552.7;1.0;0.0;0.3;-3.01;8.0;3.9;1.2;0.0;0.0
42;20:30;0.36;0.0;0.0;21.2;97.58;40.29;24.17;0.0;0.0;1731.66;-1731.66;6.93;4339.6;221.7;637.3;0.0;1045849.8023715417;0.3;-2.41;8.0;4.01;1.31;0.0;0.0
43;21:00;0.34;0.0;0.0;21.2;97.15;39.81;23.88;0.0;0.0;1718.14;-1718.14;6.61;4184.5;0.0;687.9;0.0;1045849.8023715417;0.3;-1.86;7.7;4.11;1.41;0.0;0.0
44;21:30;0.65;0.0;0.0;21.49;96.72;39.32;23.59;0.0;0.0;2628.92;-2628.92;10.12;4335.9;0.0;687.6;0.0;1045849.8023715417;0.01;-1.36;7.7;4.2;1.5;0.0;0.0
45;22:00;0.0;0.0;2350.0;21.2;96.29;41.01;24.6;0.0;0.0;2907.1;-2907.1;12.5;3719.1;0.0;557.1;0.9666666666666667;0.0;0.3;-0.98;8.6;4.26;1.56;0.0;0.0
46;22:30;0.2;0.0;0.0;21.21;95.86;41.01;24.6;0.0;0.0;889.35;-889.35;3.82;2397.4;0.0;289.3;1.0;0.0;0.29;-0.73;8.6;4.31;1.61;0.0;0.0
47;23:00;0.2;0.0;0.0;21.27;95.43;41.01;24.6;0.0;0.0;742.68;-742.68;-1.34;1799.0;0.0;142.7;1.0;0.0;0.23;-0.48;-3.6;4.35;1.65;0.0;0.0
48;23:30;0.23;0.0;0.0;21.35;95.0;41.01;24.6;0.0;0.0;824.81;-824.81;-1.48;2003.3;0.0;120.7;1.0;0.0;5.0;-0.23;-3.6;4.4;1.7;0.0;0.0
