timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.0;4700.0;21.59;124.57;43.49;26.09;0.0;0.0;4830.02;-4830.02;-3.62;1999.2;0.0;130.0;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;1.0;0.0;4700.0;22.33;124.14;46.97;28.18;0.0;0.0;7834.5;-7834.5;-5.88;2635.8;0.0;134.5;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.2;0.0;4700.0;22.28;123.71;50.46;30.27;0.0;0.0;5427.56;-5427.56;-10.04;3038.8;0.0;127.6;1.0;0.0;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.0;0.2;4700.0;22.03;131.05;53.94;32.37;0.0;0.0;5409.66;-5409.66;-10.01;3196.1;0.0;109.7;1.0;0.0;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.94;0.0;4700.0;22.65;130.62;57.43;34.46;0.0;0.0;7620.54;-7620.54;-21.72;3206.0;0.0;109.2;1.0;0.0;0.15;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.0;0.2;1831.97;22.41;137.59;58.79;35.27;0.0;0.0;2562.23;-2562.23;-7.3;3037.5;0.0;130.3;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.0;1.0;0.0;22.17;173.05;58.79;35.27;0.0;0.0;3147.43;-3147.43;-10.54;3079.9;0.0;147.4;1.0;0.0;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;1.0;0.0;0.0;22.8;172.62;58.79;35.27;0.0;0.0;3160.04;-3160.04;-10.59;3444.9;0.0;160.0;1.0;0.0;0.3;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.0;1.0;0.0;22.51;205.36;58.79;35.27;0.0;0.0;3281.32;-3281.32;-9.35;3714.8;0.0;281.3;1.0;0.0;0.01;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.0;1.0;0.0;22.2;236.56;58.79;35.27;0.0;0.0;3513.63;-3513.63;-10.01;4033.1;0.0;513.6;1.0;0.0;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;1.0;0.0;0.0;22.71;236.13;58.79;35.27;0.0;0.0;3756.88;-3756.88;-4.32;4628.4;0.0;756.9;1.0;0.0;0.21;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.6;0.0;0.0;22.8;235.7;58.79;35.27;0.0;0.0;2838.86;-2838.86;-3.26;5424.3;0.0;1035.3;1.0;0.0;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.54;0.0;0.0;22.8;235.27;58.79;35.27;0.0;0.0;2664.04;-2664.04;-35.43;5894.3;0.0;1046.4;1.0;0.0;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.53;0.0;0.0;22.8;234.83;58.79;35.27;0.0;0.0;2410.51;-2410.51;-32.06;5718.4;0.0;813.3;1.0;0.0;0.3;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.54;0.0;0.0;22.8;220.49;58.79;35.27;0.0;0.0;2233.71;-2233.71;-20.66;5682.8;1454.6;626.0;1.0;0.0;0.3;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.54;0.0;0.0;22.8;220.06;58.79;35.27;0.0;0.0;2082.05;-2082.05;-19.26;5637.0;0.0;475.3;1.0;0.0;0.3;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.2;0.0;0.0;22.52;219.63;58.02;34.81;0.0;0.0;946.78;-946.78;-4.02;5656.1;0.0;346.8;0.0;1654545.4545454544;0.02;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.2;0.0;0.0;22.25;219.2;57.26;34.35;0.0;0.0;834.36;-834.36;-3.55;5610.3;0.0;234.4;0.0;1654545.4545454544;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;0.94;0.0;0.0;22.51;211.2;56.49;33.89;0.0;0.0;3118.97;-3118.97;-0.16;5915.9;790.5;299.6;0.0;1654545.4545454544;0.01;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;1.0;0.0;0.0;22.8;210.77;55.72;33.43;0.0;0.0;3551.78;-3551.78;-0.18;6363.6;0.0;551.8;0.0;1654545.4545454544;0.3;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;0.0;0.0;0.0;22.31;210.34;54.96;32.97;0.0;0.0;629.71;-629.71;1.26;6306.6;0.0;629.7;0.0;1654545.4545454544;0.0;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;1.0;0.0;0.0;22.66;208.99;54.19;32.52;0.0;0.0;3510.61;-3510.61;7.02;5851.7;96.0;510.6;0.0;1654545.4545454544;0.16;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;0.69;0.0;0.0;22.8;208.56;53.43;32.06;0.0;0.0;2435.29;-2435.29;10.11;5467.6;0.0;377.3;0.0;1654545.4545454544;0.3;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.49;0.0;0.0;22.8;208.13;52.66;31.6;0.0;0.0;1709.33;-1709.33;7.09;5255.9;0.0;232.1;0.0;1654545.4545454544;0.3;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;0.46;0.0;0.0;22.8;207.7;51.89;31.14;0.0;0.0;1810.69;-1810.69;6.43;4930.0;0.0;434.9;0.0;1654545.4545454544;0.3;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.44;0.0;0.0;22.8;207.27;51.13;30.68;0.0;0.0;2324.85;-2324.85;8.25;4711.1;0.0;1012.9;0.0;1654545.4545454544;0.3;-4.53;7.1;3.63;1.0;0.0;0.0
