timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.49;21.57;146.43;0.0;0.0;1616.06;-1616.06;8.08;2367.8;0.0;134.1;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;1.0;0.0;22.34;146.0;0.0;0.0;3133.4;-3133.4;15.67;2555.8;0.0;133.4;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.2;0.0;22.33;145.57;0.0;0.0;733.58;-733.58;4.36;2689.3;0.0;133.6;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.0;0.65;22.1;173.95;0.0;0.0;2085.61;-2085.61;12.41;2840.1;0.0;132.9;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.39;0.0;22.26;173.52;0.0;0.0;1312.05;-1312.05;6.3;2974.9;0.0;133.4;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;22.21;173.09;0.0;0.0;732.2;-732.2;3.51;3114.6;0.0;132.2;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.2;0.0;22.15;172.66;0.0;0.0;733.04;-733.04;2.86;3207.3;0.0;133.0;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.2;0.0;22.09;172.23;0.0;0.0;733.75;-733.75;2.86;3286.9;0.0;133.8;0.0;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;1.0;0.0;22.8;171.8;0.0;0.0;3143.44;-3143.44;13.67;3371.5;0.0;143.4;0.3;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.2;0.0;22.73;171.37;0.0;0.0;766.17;-766.17;3.33;3400.8;0.0;166.2;0.23;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.35;0.0;22.8;170.93;0.0;0.0;1684.12;-1684.12;7.58;3498.9;0.0;638.0;0.3;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.28;0.0;22.8;170.5;0.0;0.0;2410.7;-2410.7;10.85;3539.6;0.0;1571.0;0.3;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.2;0.0;22.7;167.05;0.0;0.0;2519.88;-2519.88;23.31;3890.8;315.9;1919.9;0.2;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.0;0.0;22.35;166.62;0.0;0.0;1646.25;-1646.25;15.23;4519.4;0.0;1646.3;0.0;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;21.98;127.56;0.0;0.0;1244.4;-1244.4;20.28;4687.4;4038.0;1244.4;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.0;21.63;125.13;0.0;0.0;760.59;-760.59;12.4;4607.3;208.8;760.6;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
