timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;22.56;124.57;0.0;0.0;3143.7;-3143.7;15.72;2127.3;0.0;143.7;0.06;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.42;22.37;142.74;0.0;0.0;1404.01;-1404.01;7.02;2388.0;0.0;143.1;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.2;0.0;22.35;142.31;0.0;0.0;744.81;-744.81;4.43;2772.5;0.0;144.8;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.2;0.0;22.29;141.88;0.0;0.0;744.85;-744.85;4.43;3267.5;0.0;144.8;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.2;0.0;22.21;141.45;0.0;0.0;744.52;-744.52;3.57;3505.7;0.0;144.5;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;22.14;141.02;0.0;0.0;736.92;-736.92;3.54;3472.1;0.0;136.9;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.2;0.0;22.06;140.59;0.0;0.0;728.39;-728.39;2.84;3451.8;0.0;128.4;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;1.0;0.0;22.77;140.16;0.0;0.0;3118.93;-3118.93;12.16;3386.8;0.0;118.9;0.27;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.3;0.0;22.8;139.73;0.0;0.0;1045.41;-1045.41;4.55;3409.4;0.0;138.2;0.3;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.28;0.0;22.8;139.3;0.0;0.0;1027.34;-1027.34;4.47;3511.3;0.0;187.9;0.3;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.29;0.0;22.8;138.87;0.0;0.0;1458.95;-1458.95;6.57;3640.4;0.0;592.0;0.3;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.29;0.0;22.8;138.44;0.0;0.0;2242.84;-2242.84;10.09;3649.6;0.0;1377.3;0.3;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.2;0.0;22.7;138.0;0.0;0.0;2399.63;-2399.63;22.2;3770.9;0.0;1799.6;0.2;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.2;0.0;22.59;137.57;0.0;0.0;2416.23;-2416.23;22.35;4048.1;0.0;1816.2;0.09;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;22.27;128.15;0.0;0.0;1527.96;-1527.96;24.91;4127.0;940.5;1528.0;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.0;21.95;119.09;0.0;0.0;869.67;-869.67;14.18;4124.9;901.3;869.7;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;1.0;0.0;22.6;118.66;0.0;0.0;3522.21;-3522.21;50.02;4361.1;0.0;522.2;0.1;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;0.2;0.0;22.42;118.23;0.0;0.0;1114.7;-1114.7;15.83;4871.4;0.0;514.7;0.0;-0.73;28.4;4.31;1.61;0.0;0.0
19;09:00;0.2;0.0;22.23;117.8;0.0;0.0;1316.29;-1316.29;17.57;5010.5;0.0;716.3;0.0;-0.68;26.7;4.32;1.62;0.0;0.0
20;09:30;0.2;0.0;22.07;117.37;0.0;0.0;1734.87;-1734.87;23.16;4642.0;0.0;1134.9;0.0;-0.63;26.7;4.33;1.63;0.0;0.0
21;10:00;0.2;0.0;21.93;116.94;0.0;0.0;1794.74;-1794.74;24.14;4489.1;0.0;1194.7;0.0;-0.58;26.9;4.34;1.64;0.0;0.0
22;10:30;0.2;0.0;21.78;116.51;0.0;0.0;1426.64;-1426.64;19.19;4425.5;0.0;826.6;0.0;-0.53;26.9;4.35;1.65;0.0;0.0
23;11:00;1.0;0.0;22.45;116.08;0.0;0.0;4036.51;-4036.51;60.75;4306.2;0.0;1036.5;0.0;-0.5;30.1;4.35;1.65;0.0;0.0
24;11:30;0.2;0.0;22.33;112.07;0.0;0.0;2454.01;-2454.01;36.93;4049.8;374.1;1854.0;0.0;-0.5;30.1;4.35;1.65;0.0;0.0
25;12:00;0.79;0.0;22.8;111.64;0.0;0.0;4252.95;-4252.95;62.73;4220.9;0.0;1872.5;0.3;-0.52;29.5;4.35;1.65;0.0;0.0
26;12:30;0.2;0.0;22.62;109.17;0.0;0.0;1666.32;-1666.32;24.58;4891.2;212.8;1066.3;0.12;-0.57;29.5;4.34;1.64;0.0;0.0
27;13:00;0.59;0.0;22.8;108.74;0.0;0.0;2492.82;-2492.82;35.4;5208.9;0.0;737.5;0.3;-0.65;28.4;4.32;1.62;0.0;0.0
28;13:30;0.2;0.0;22.59;108.31;0.0;0.0;1501.07;-1501.07;21.32;5305.3;0.0;901.1;0.09;-0.75;28.4;4.31;1.61;0.0;0.0
29;14:00;0.2;0.0;22.39;107.88;0.0;0.0;1574.31;-1574.31;21.73;5073.0;0.0;974.3;0.0;-0.85;27.6;4.29;1.59;0.0;0.0
30;14:30;0.2;0.0;22.23;107.45;0.0;0.0;1559.65;-1559.65;21.52;4615.5;0.0;959.7;0.0;-0.95;27.6;4.27;1.57;0.0;0.0
31;15:00;0.53;0.0;22.38;107.02;0.0;0.0;2348.28;-2348.28;32.76;4764.2;0.0;772.4;0.0;-0.98;27.9;4.26;1.56;0.0;0.0
32;15:30;0.2;0.0;22.16;103.63;0.0;0.0;1036.36;-1036.36;14.46;5398.6;309.6;436.4;0.0;-0.93;27.9;4.27;1.57;0.0;0.0
33;16:00;0.2;0.0;21.93;103.2;0.0;0.0;1096.74;-1096.74;15.63;5456.0;0.0;496.7;0.0;-0.95;28.5;4.27;1.57;0.0;0.0
