timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;22.5;124.57;0.0;0.0;3132.2;-3132.2;-2.35;2330.6;0.0;132.2;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.55;0.0;22.8;124.14;0.0;0.0;1766.74;-1766.74;-1.33;2787.4;0.0;127.5;0.3;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.2;0.0;22.75;123.71;0.0;0.0;732.89;-732.89;-1.36;3071.5;0.0;132.9;0.25;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;22.69;123.28;0.0;0.0;743.23;-743.23;-1.37;3145.2;0.0;143.2;0.19;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;22.63;122.85;0.0;0.0;744.94;-744.94;-2.12;3166.9;0.0;144.9;0.13;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.0;1.0;22.39;159.46;0.0;0.0;3130.98;-3130.98;-8.92;3022.6;0.0;131.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.71;0.0;22.8;159.03;0.0;0.0;2408.38;-2408.38;-8.07;3130.9;0.0;264.0;0.3;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;0.83;22.54;187.4;0.0;0.0;3043.32;-3043.32;-10.2;3395.9;0.0;545.2;0.04;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.64;0.0;22.8;186.97;0.0;0.0;2684.11;-2684.11;-7.65;3919.7;0.0;763.5;0.3;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.0;0.2;22.42;192.87;0.0;0.0;1526.92;-1526.92;-4.35;4859.8;0.0;926.9;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.92;0.0;22.8;192.44;0.0;0.0;3663.41;-3663.41;-4.21;5425.6;0.0;901.6;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.52;0.0;22.8;192.01;0.0;0.0;2208.3;-2208.3;-2.54;5708.6;0.0;661.8;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.44;0.0;22.73;191.58;0.0;0.0;1830.35;-1830.35;-24.34;5701.0;0.0;502.5;0.23;-4.27;-26.6;3.67;1.0;0.0;0.0
