timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;21.6;133.42;0.0;0.0;729.65;-729.65;3.65;0.0;0.0;0.0;0.0;-1.1;10.0;4.24;1.54
2;00:30;0.0;0.0;21.43;132.99;0.0;0.0;121.99;-121.99;0.61;0.0;0.0;0.0;0.07;-1.1;10.0;4.24;1.54
3;01:00;0.0;0.0;21.24;132.56;0.0;0.0;123.45;-123.45;0.73;0.0;0.0;0.0;0.26;-1.1;11.9;4.24;1.54
4;01:30;1.0;0.0;22.02;132.13;0.0;0.0;3134.97;-3134.97;18.65;0.0;0.0;0.0;0.0;-1.1;11.9;4.24;1.54
5;02:00;0.2;0.0;22.0;131.7;0.0;0.0;734.22;-734.22;3.52;0.0;0.0;0.0;0.0;-1.15;9.6;4.23;1.53
6;02:30;0.2;0.0;21.97;131.27;0.0;0.0;727.49;-727.49;3.49;0.0;0.0;0.0;0.0;-1.25;9.6;4.22;1.52
7;03:00;0.2;0.0;21.94;130.84;0.0;0.0;718.29;-718.29;2.8;0.0;0.0;0.0;0.0;-1.28;7.8;4.21;1.51
8;03:30;0.23;0.0;21.94;130.41;0.0;0.0;789.27;-789.27;3.08;0.0;0.0;0.0;0.0;-1.23;7.8;4.22;1.52
9;04:00;0.24;0.0;21.94;129.98;0.0;0.0;817.55;-817.55;3.56;0.0;0.0;0.0;0.0;-1.18;8.7;4.23;1.53
10;04:30;0.27;0.0;21.94;129.55;0.0;0.0;912.56;-912.56;3.97;0.0;0.0;0.0;0.0;-1.13;8.7;4.24;1.54
11;05:00;0.27;0.0;21.94;129.12;0.0;0.0;940.47;-940.47;4.23;0.0;0.0;0.0;0.0;-1.05;9.0;4.25;1.55
12;05:30;0.24;0.0;21.94;128.69;0.0;0.0;857.35;-857.35;3.86;0.0;0.0;0.0;0.0;-0.95;9.0;4.27;1.57
13;06:00;0.24;0.0;21.94;128.25;0.0;0.0;1206.95;-1206.95;11.16;0.0;0.0;0.0;0.0;-0.88;18.5;4.28;1.58
14;06:30;0.28;0.0;21.94;127.82;0.0;0.0;2012.42;-2012.42;18.61;0.0;0.0;0.0;0.0;-0.83;18.5;4.29;1.59
15;07:00;0.33;0.0;21.94;125.61;0.0;0.0;2482.69;-2482.69;40.47;0.0;0.0;0.0;0.0;-0.8;32.6;4.3;1.6
16;07:30;0.0;1.0;21.55;86.59;0.0;0.0;4404.21;-4404.21;71.79;0.0;0.0;0.0;0.0;-0.8;32.6;4.3;1.6
17;08:00;1.0;0.0;22.13;86.16;0.0;0.0;4147.66;-4147.66;58.9;0.0;0.0;0.0;0.0;-0.78;28.4;4.3;1.6
18;08:30;0.2;0.0;21.95;85.73;0.0;0.0;1299.77;-1299.77;18.46;0.0;0.0;0.0;0.0;-0.73;28.4;4.31;1.61
19;09:00;0.39;0.0;21.95;85.3;0.0;0.0;1610.55;-1610.55;21.5;0.0;0.0;0.0;0.0;-0.68;26.7;4.32;1.62
20;09:30;0.43;0.0;21.95;84.87;0.0;0.0;1713.78;-1713.78;22.88;0.0;0.0;0.0;0.0;-0.63;26.7;4.33;1.63
21;10:00;0.44;0.0;21.95;84.44;0.0;0.0;1914.36;-1914.36;25.75;0.0;0.0;0.0;0.0;-0.58;26.9;4.34;1.64
22;10:30;0.42;0.0;21.95;84.01;0.0;0.0;2182.9;-2182.9;29.36;0.0;0.0;0.0;0.0;-0.53;26.9;4.35;1.65
23;11:00;0.4;0.0;21.95;83.58;0.0;0.0;2157.98;-2157.98;32.48;0.0;0.0;0.0;0.0;-0.5;30.1;4.35;1.65
24;11:30;0.0;1.0;21.57;90.8;0.0;0.0;3669.82;-3669.82;55.23;0.0;0.0;0.0;0.0;-0.5;30.1;4.35;1.65
25;12:00;0.0;1.0;21.24;136.9;0.0;0.0;3924.11;-3924.11;57.88;0.0;0.0;0.0;0.26;-0.52;29.5;4.35;1.65
26;12:30;1.0;0.0;21.94;133.42;0.0;0.0;4704.85;-4704.85;69.4;0.0;0.0;0.0;0.0;-0.57;29.5;4.34;1.64
27;13:00;0.28;0.0;21.94;132.99;0.0;0.0;2553.51;-2553.51;36.26;0.0;0.0;0.0;0.0;-0.65;28.4;4.32;1.62
28;13:30;0.29;0.0;21.94;132.56;0.0;0.0;1736.35;-1736.35;24.66;0.0;0.0;0.0;0.0;-0.75;28.4;4.31;1.61
29;14:00;0.31;0.0;21.94;132.13;0.0;0.0;1452.22;-1452.22;20.04;0.0;0.0;0.0;0.0;-0.85;27.6;4.29;1.59
30;14:30;0.32;0.0;21.94;131.7;0.0;0.0;1740.66;-1740.66;24.02;0.0;0.0;0.0;0.0;-0.95;27.6;4.27;1.57
31;15:00;0.34;0.0;21.94;131.27;0.0;0.0;1939.19;-1939.19;27.05;0.0;0.0;0.0;0.0;-0.98;27.9;4.26;1.56
32;15:30;0.39;0.0;21.94;130.83;0.0;0.0;2055.54;-2055.54;28.67;0.0;0.0;0.0;0.0;-0.93;27.9;4.27;1.57
33;16:00;0.41;0.0;21.94;130.4;0.0;0.0;1953.98;-1953.98;27.84;0.0;0.0;0.0;0.0;-0.95;28.5;4.27;1.57
34;16:30;0.41;0.0;21.94;129.97;0.0;0.0;1632.62;-1632.62;23.26;0.0;0.0;0.0;0.0;-1.05;28.5;4.25;1.55
35;17:00;0.38;0.0;21.94;129.54;0.0;0.0;1619.06;-1619.06;25.82;0.0;0.0;0.0;0.0;-1.15;31.9;4.23;1.53
36;17:30;0.33;0.0;21.94;129.11;0.0;0.0;1918.59;-1918.59;30.6;0.0;0.0;0.0;0.0;-1.25;31.9;4.22;1.52
37;18:00;0.3;0.0;21.94;128.68;0.0;0.0;1950.6;-1950.6;30.43;0.0;0.0;0.0;0.0;-1.32;31.2;4.2;1.5
38;18:30;0.3;0.0;21.94;128.25;0.0;0.0;1643.68;-1643.68;25.64;0.0;0.0;0.0;0.0;-1.37;31.2;4.19;1.49
39;19:00;0.31;0.0;21.94;127.82;0.0;0.0;1504.82;-1504.82;24.0;0.0;0.0;0.0;0.0;-1.38;31.9;4.19;1.49
40;19:30;0.32;0.0;21.94;124.4;0.0;0.0;1540.02;-1540.02;24.56;0.0;0.0;0.0;0.0;-1.33;31.9;4.2;1.5
41;20:00;0.3;0.0;21.94;123.97;0.0;0.0;1522.61;-1522.61;21.7;0.0;0.0;0.0;0.0;-1.32;28.5;4.2;1.5
42;20:30;0.24;0.0;21.94;122.55;0.0;0.0;1441.24;-1441.24;20.54;0.0;0.0;0.0;0.0;-1.37;28.5;4.19;1.49
43;21:00;0.23;0.0;21.94;122.12;0.0;0.0;1438.42;-1438.42;18.05;0.0;0.0;0.0;0.0;-1.4;25.1;4.19;1.49
44;21:30;0.26;0.0;21.94;120.15;0.0;0.0;1509.85;-1509.85;18.95;0.0;0.0;0.0;0.0;-1.4;25.1;4.19;1.49
45;22:00;0.28;0.0;21.94;119.72;0.0;0.0;1446.1;-1446.1;14.46;0.0;0.0;0.0;0.0;-1.47;20.0;4.17;1.47
46;22:30;0.26;0.0;21.94;119.29;0.0;0.0;1233.8;-1233.8;12.34;0.0;0.0;0.0;0.0;-1.62;20.0;4.15;1.45
47;23:00;0.23;0.0;21.94;118.86;0.0;0.0;990.44;-990.44;6.49;0.0;0.0;0.0;0.0;-1.75;13.1;4.13;1.43
48;23:30;0.2;0.0;21.96;118.43;0.0;0.0;785.51;-785.51;5.15;2120.6;0.0;185.5;0.0;-1.85;13.1;4.11;1.41
