timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating)
1;00:00;0.2;21.79;0.0;0.0;6251.82;-6251.82;31.26;9332.0;3251.8;0.0;-1.1;10.0;4.24
2;00:30;0.2;21.83;0.0;0.0;5085.5;-5085.5;25.43;8537.8;2085.5;0.0;-1.1;10.0;4.24
3;01:00;0.2;21.88;0.0;0.0;4530.8;-4530.8;26.96;8863.3;1530.8;0.0;-1.1;11.9;4.24
4;01:30;0.2;21.9;0.0;0.0;4629.93;-4629.93;27.55;10385.7;1629.9;0.0;-1.1;11.9;4.24
5;02:00;0.2;21.91;0.0;0.0;4585.06;-4585.06;22.01;11588.5;1585.1;0.0;-1.15;9.6;4.23
6;02:30;0.2;21.91;0.0;0.0;4393.13;-4393.13;21.09;12449.8;1386.3;0.0;-1.25;9.6;4.22
7;03:00;0.21;21.91;0.0;0.0;4733.05;-4733.05;18.46;13340.3;1511.2;0.0;-1.28;7.8;4.21
8;03:30;0.23;21.91;0.0;0.0;5415.56;-5415.56;21.12;14261.9;1982.1;0.0;-1.23;7.8;4.22
9;04:00;0.24;21.91;0.0;0.0;6005.81;-6005.81;26.13;15302.0;2333.7;0.0;-1.18;8.7;4.23
10;04:30;0.26;21.91;0.0;0.0;6497.36;-6497.36;28.26;16468.7;2557.7;0.0;-1.13;8.7;4.24
11;05:00;0.28;21.91;0.0;0.0;7586.57;-7586.57;34.14;17746.3;3358.7;0.0;-1.05;9.0;4.25
12;05:30;0.3;21.91;0.0;0.0;9313.65;-9313.65;41.91;19142.2;4776.6;0.0;-0.95;9.0;4.27
13;06:00;0.35;21.91;0.0;0.0;10421.73;-10421.73;96.4;22110.5;5206.0;0.0;-0.88;18.5;4.28
14;06:30;0.42;21.91;0.0;0.0;10866.92;-10866.92;100.52;26759.5;4578.8;0.0;-0.83;18.5;4.29
15;07:00;0.48;21.91;0.0;0.0;11213.98;-11213.98;182.79;30583.7;4042.5;0.0;-0.8;32.6;4.3
16;07:30;0.52;21.91;0.0;0.0;11459.78;-11459.78;186.79;33525.9;3603.4;0.0;-0.8;32.6;4.3
17;08:00;0.51;21.91;0.0;0.0;11251.87;-11251.87;159.78;32528.6;3635.4;0.0;-0.78;28.4;4.3
18;08:30;0.43;21.91;0.0;0.0;10562.78;-10562.78;149.99;27319.9;4170.9;0.0;-0.73;28.4;4.31
19;09:00;0.38;21.91;0.0;0.0;10286.42;-10286.42;137.32;24456.7;4570.9;0.0;-0.68;26.7;4.32
20;09:30;0.37;21.91;0.0;0.0;10447.4;-10447.4;139.47;24100.5;4826.1;0.0;-0.63;26.7;4.33
21;10:00;0.36;21.91;0.0;0.0;9996.2;-9996.2;134.45;23488.0;4527.8;0.0;-0.58;26.9;4.34
22;10:30;0.35;21.91;0.0;0.0;8890.95;-8890.95;119.58;22601.5;3637.9;0.0;-0.53;26.9;4.35
23;11:00;0.33;21.91;0.0;0.0;8200.17;-8200.17;123.41;21490.7;3208.1;0.0;-0.5;30.1;4.35
24;11:30;0.31;21.91;0.0;0.0;7951.72;-7951.72;119.67;20139.9;3270.1;0.0;-0.5;30.1;4.35
25;12:00;0.3;21.91;0.0;0.0;8717.96;-8717.96;128.59;19593.7;4157.4;0.0;-0.52;29.5;4.35
26;12:30;0.31;21.91;0.0;0.0;10569.11;-10569.11;155.89;19907.4;5926.7;0.0;-0.57;29.5;4.34
27;13:00;0.32;21.91;0.0;0.0;10968.01;-10968.01;155.75;20486.5;6177.3;0.0;-0.65;28.4;4.32
28;13:30;0.33;21.91;0.0;0.0;9815.55;-9815.55;139.38;21349.3;4804.4;0.0;-0.75;28.4;4.31
29;14:00;0.33;21.91;0.0;0.0;9800.08;-9800.08;135.24;20961.9;4858.3;0.0;-0.85;27.6;4.29
30;14:30;0.3;21.91;0.0;0.0;10996.14;-10996.14;151.75;19238.1;6437.3;0.0;-0.95;27.6;4.27
31;15:00;0.29;21.91;0.0;0.0;11564.14;-11564.14;161.32;18637.3;7140.9;0.0;-0.98;27.9;4.26
32;15:30;0.3;21.91;0.0;0.0;11462.97;-11462.97;159.91;19236.9;6908.7;0.0;-0.93;27.9;4.27
33;16:00;0.31;21.91;0.0;0.0;10576.25;-10576.25;150.71;19315.7;5999.2;0.0;-0.95;28.5;4.27
34;16:30;0.3;21.91;0.0;0.0;8849.69;-8849.69;126.11;18837.7;4365.7;0.0;-1.05;28.5;4.25
35;17:00;0.3;21.91;0.0;0.0;8925.19;-8925.19;142.36;18513.6;4498.7;0.0;-1.15;31.9;4.23
36;17:30;0.29;21.91;0.0;0.0;10927.59;-10927.59;174.3;18353.9;6520.1;0.0;-1.25;31.9;4.22
37;18:00;0.31;21.91;0.0;0.0;12042.82;-12042.82;187.87;19410.3;7369.6;0.0;-1.32;31.2;4.2
38;18:30;0.35;21.91;0.0;0.0;12211.62;-12211.62;190.5;21766.7;6966.3;0.0;-1.37;31.2;4.19
39;19:00;0.34;21.91;0.0;0.0;12774.07;-12774.07;203.75;21306.2;7638.2;0.0;-1.38;31.9;4.19
40;19:30;0.29;21.91;0.0;0.0;13757.97;-13757.97;219.44;17834.6;9459.4;0.0;-1.33;31.9;4.2
41;20:00;0.27;21.91;0.0;0.0;12942.66;-12942.66;184.43;16542.8;8951.9;0.0;-1.32;28.5;4.2
42;20:30;0.28;21.91;0.0;0.0;10201.97;-10201.97;145.38;17581.1;5955.0;0.0;-1.37;28.5;4.19
43;21:00;0.29;21.91;0.0;0.0;8635.24;-8635.24;108.37;17728.2;4348.4;0.0;-1.4;25.1;4.19
44;21:30;0.27;21.91;0.0;0.0;8322.52;-8322.52;104.45;16922.7;4228.0;0.0;-1.4;25.1;4.19
45;22:00;0.24;21.91;0.0;0.0;7352.77;-7352.77;73.53;14699.0;3778.1;0.0;-1.47;20.0;4.17
46;22:30;0.2;21.93;0.0;0.0;5975.97;-5975.97;59.76;10959.2;2976.0;0.0;-1.62;20.0;4.15
47;23:00;0.2;21.97;0.0;0.0;5415.56;-5415.56;35.47;8560.0;2415.6;0.0;-1.75;13.1;4.13
48;23:30;0.2;22.03;0.0;0.0;5113.58;-5113.58;33.49;7593.8;2113.6;0.0;-1.85;13.1;4.11
