timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;4700.0;21.52;133.42;43.49;26.09;0.0;0.0;5418.93;-5418.93;27.09;2924.6;0.0;118.9;1.0;0.0;0.0;-1.1;10.0;4.24;1.54
2;00:30;0.0;0.0;0.0;21.28;132.99;43.49;26.09;0.0;0.0;133.92;-133.92;0.67;3079.2;0.0;133.9;1.0;0.0;0.22;-1.1;10.0;4.24;1.54
3;01:00;1.0;0.0;0.0;22.02;132.56;43.49;26.09;0.0;0.0;3132.19;-3132.19;18.64;3081.1;0.0;132.2;1.0;0.0;0.0;-1.1;11.9;4.24;1.54
4;01:30;0.2;0.0;0.0;21.98;132.13;43.49;26.09;0.0;0.0;715.16;-715.16;4.26;2956.8;0.0;115.2;1.0;0.0;0.0;-1.1;11.9;4.24;1.54
5;02:00;0.2;0.0;0.0;21.94;131.7;43.49;26.09;0.0;0.0;713.44;-713.44;3.42;3107.8;0.0;113.4;1.0;0.0;0.0;-1.15;9.6;4.23;1.53
6;02:30;0.27;0.0;0.0;21.94;131.27;43.49;26.09;0.0;0.0;950.33;-950.33;4.56;3422.1;0.0;127.8;1.0;0.0;0.0;-1.25;9.6;4.22;1.52
7;03:00;0.28;0.0;0.0;21.94;130.84;43.49;26.09;0.0;0.0;965.57;-965.57;3.77;3447.8;0.0;136.0;1.0;0.0;0.0;-1.28;7.8;4.21;1.51
8;03:30;0.24;0.0;0.0;21.94;130.41;43.49;26.09;0.0;0.0;855.81;-855.81;3.34;2970.8;0.0;141.0;1.0;0.0;0.0;-1.23;7.8;4.22;1.52
9;04:00;0.24;0.0;0.0;21.94;129.98;43.49;26.09;0.0;0.0;1266.21;-1266.21;5.51;2997.2;0.0;546.7;1.0;0.0;0.0;-1.18;8.7;4.23;1.53
10;04:30;0.28;0.0;0.0;21.94;129.55;43.49;26.09;0.0;0.0;2205.57;-2205.57;9.59;3463.8;0.0;1377.5;1.0;0.0;0.0;-1.13;8.7;4.24;1.54
