timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.6;133.42;0.0;0.0;729.12;-729.12;3.65;1944.7;0.0;129.1;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.26;21.43;144.5;0.0;0.0;901.82;-901.82;4.51;2210.4;0.0;121.8;0.07;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.0;0.0;21.24;144.07;0.0;0.0;123.58;-123.58;0.74;2389.0;0.0;123.6;0.26;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;1.0;0.0;22.02;143.64;0.0;0.0;3133.88;-3133.88;18.65;2502.5;0.0;133.9;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.2;0.0;22.01;143.21;0.0;0.0;734.85;-734.85;3.53;2648.7;0.0;134.8;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.0;0.67;21.78;171.91;0.0;0.0;2137.68;-2137.68;10.26;2897.3;0.0;127.7;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.74;0.0;22.27;171.48;0.0;0.0;2349.51;-2349.51;9.16;2923.9;0.0;117.7;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.0;0.56;22.06;195.47;0.0;0.0;1785.65;-1785.65;6.96;2784.6;0.0;105.6;0.0;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.24;0.0;22.06;195.04;0.0;0.0;814.36;-814.36;3.54;2960.4;0.0;103.6;0.0;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.27;0.0;22.06;194.61;0.0;0.0;912.39;-912.39;3.97;3366.5;0.0;107.3;0.0;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.57;0.0;22.35;194.18;0.0;0.0;1828.72;-1828.72;8.23;3449.0;0.0;117.3;0.0;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.54;0.0;22.64;193.75;0.0;0.0;1759.39;-1759.39;7.92;3081.0;0.0;131.5;0.14;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.24;0.0;22.64;193.32;0.0;0.0;1209.46;-1209.46;11.19;3088.7;0.0;477.7;0.14;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.28;0.0;22.64;192.89;0.0;0.0;2020.06;-2020.06;18.69;3568.6;0.0;1178.0;0.14;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;22.31;190.64;0.0;0.0;1488.61;-1488.61;24.26;4259.0;190.7;1488.6;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.3;21.92;119.43;0.0;0.0;2311.59;-2311.59;37.68;5017.8;8833.7;1411.6;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;1.0;0.0;22.5;119.0;0.0;0.0;4146.69;-4146.69;58.88;5263.9;0.0;1146.7;0.0;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;0.2;0.0;22.32;118.57;0.0;0.0;1296.42;-1296.42;18.41;4863.2;0.0;696.4;0.0;-0.73;28.4;4.31;1.61;0.0;0.0
19;09:00;0.2;0.0;22.14;118.14;0.0;0.0;1053.31;-1053.31;14.06;4942.0;0.0;453.3;0.0;-0.68;26.7;4.32;1.62;0.0;0.0
20;09:30;0.43;0.0;22.14;117.71;0.0;0.0;1714.52;-1714.52;22.89;5475.2;0.0;438.9;0.0;-0.63;26.7;4.33;1.63;0.0;0.0
21;10:00;0.44;0.0;22.14;117.28;0.0;0.0;1906.39;-1906.39;25.64;5639.2;0.0;595.6;0.0;-0.58;26.9;4.34;1.64;0.0;0.0
22;10:30;0.42;0.0;22.14;116.85;0.0;0.0;2208.12;-2208.12;29.7;5475.6;0.0;937.6;0.0;-0.53;26.9;4.35;1.65;0.0;0.0
23;11:00;0.0;0.0;21.74;116.42;0.0;0.0;974.3;-974.3;14.66;5212.4;0.0;974.3;0.0;-0.5;30.1;4.35;1.65;0.0;0.0
24;11:30;0.0;0.0;21.36;76.13;0.0;0.0;666.23;-666.23;10.03;4855.0;4166.7;666.2;0.14;-0.5;30.1;4.35;1.65;0.0;0.0
25;12:00;1.0;0.0;22.03;74.99;0.0;0.0;3911.8;-3911.8;57.7;4351.7;73.6;911.8;0.0;-0.52;29.5;4.35;1.65;0.0;0.0
26;12:30;0.2;0.0;21.94;71.54;0.0;0.0;2302.95;-2302.95;33.97;3725.7;315.9;1702.9;0.0;-0.57;29.5;4.34;1.64;0.0;0.0
27;13:00;0.2;0.0;21.86;71.11;0.0;0.0;2317.31;-2317.31;32.91;3546.3;0.0;1717.3;0.0;-0.65;28.4;4.32;1.62;0.0;0.0
28;13:30;0.29;0.0;21.86;70.68;0.0;0.0;1739.97;-1739.97;24.71;3744.3;0.0;859.8;0.0;-0.75;28.4;4.31;1.61;0.0;0.0
29;14:00;0.31;0.0;21.86;70.25;0.0;0.0;1459.54;-1459.54;20.14;3912.2;0.0;536.5;0.0;-0.85;27.6;4.29;1.59;0.0;0.0
30;14:30;0.32;0.0;21.86;69.82;0.0;0.0;1730.27;-1730.27;23.88;4024.3;0.0;777.1;0.0;-0.95;27.6;4.27;1.57;0.0;0.0
31;15:00;0.35;0.0;21.86;69.39;0.0;0.0;1932.85;-1932.85;26.96;4381.3;0.0;894.9;0.0;-0.98;27.9;4.26;1.56;0.0;0.0
32;15:30;0.38;0.0;21.86;68.96;0.0;0.0;2053.61;-2053.61;28.65;4873.7;0.0;902.6;0.0;-0.93;27.9;4.27;1.57;0.0;0.0
33;16:00;0.41;0.0;21.86;68.53;0.0;0.0;1956.8;-1956.8;27.88;5199.0;0.0;728.5;0.0;-0.95;28.5;4.27;1.57;0.0;0.0
34;16:30;0.41;0.0;21.86;68.1;0.0;0.0;1631.65;-1631.65;23.25;5174.8;0.0;403.8;0.0;-1.05;28.5;4.25;1.55;0.0;0.0
