timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.46;21.95;0.0;0.0;8783.96;-8783.96;43.92;11915.3;1884.0;0.0;-1.1;10.0;4.24;0.0;0.0
2;00:30;0.46;22.17;0.0;0.0;8422.1;-8422.1;42.11;10736.6;1522.1;0.0;-1.1;10.0;4.24;0.0;0.0
3;01:00;0.2;22.18;0.0;0.0;4316.53;-4316.53;25.68;11608.8;1316.5;0.0;-1.1;11.9;4.24;0.0;0.0
4;01:30;0.23;22.18;0.0;0.0;4790.08;-4790.08;28.5;14673.1;1278.0;0.0;-1.1;11.9;4.24;0.0;0.0
5;02:00;1.0;22.75;0.0;0.0;16409.51;-16409.51;78.77;15266.6;1409.5;0.25;-1.15;9.6;4.23;0.0;0.0
6;02:30;1.0;23.35;0.0;0.0;16722.68;-16722.68;80.27;13218.7;1722.7;0.85;-1.25;9.6;4.22;0.0;0.0
7;03:00;0.78;23.77;0.0;0.0;13841.28;-13841.28;53.98;13780.5;2114.8;1.27;-1.28;7.8;4.21;0.0;0.0
8;03:30;0.0;23.56;0.0;0.0;2591.42;-2591.42;10.11;17132.0;2591.4;1.06;-1.23;7.8;4.22;0.0;0.0
9;04:00;0.32;23.56;0.0;0.0;8595.57;-8595.57;37.39;19913.2;3832.9;1.06;-1.18;8.7;4.23;0.0;0.0
10;04:30;0.35;23.56;0.0;0.0;11157.11;-11157.11;48.53;22084.8;5892.1;1.06;-1.13;8.7;4.24;0.0;0.0
11;05:00;0.0;23.26;0.0;0.0;6451.4;-6451.4;29.03;24992.0;6451.4;0.76;-1.05;9.0;4.25;0.0;0.0
12;05:30;0.98;23.66;0.0;0.0;20130.18;-20130.18;90.59;28685.6;5407.5;1.16;-0.95;9.0;4.27;0.0;0.0
13;06:00;0.47;23.66;0.0;0.0;11412.21;-11412.21;105.56;29719.0;4419.8;1.16;-0.88;18.5;4.28;0.0;0.0
14;06:30;0.44;23.66;0.0;0.0;10048.14;-10048.14;92.95;27908.7;3492.2;1.16;-0.83;18.5;4.29;0.0;0.0
15;07:00;0.0;23.33;0.0;0.0;3165.65;-3165.65;51.6;28252.0;3165.6;0.83;-0.8;32.6;4.3;0.0;0.0
16;07:30;0.0;22.96;0.0;0.0;3481.51;-3481.51;56.75;30897.4;3481.5;0.46;-0.8;32.6;4.3;0.0;0.0
17;08:00;0.49;22.96;0.0;0.0;11202.87;-11202.87;159.08;31170.3;3902.2;0.46;-0.78;28.4;4.3;0.0;0.0
18;08:30;0.45;22.96;0.0;0.0;11195.25;-11195.25;158.97;28907.0;4435.1;0.46;-0.73;28.4;4.31;0.0;0.0
19;09:00;0.42;22.96;0.0;0.0;10778.38;-10778.38;143.89;26884.6;4500.6;0.46;-0.68;26.7;4.32;0.0;0.0
20;09:30;0.39;22.96;0.0;0.0;9923.47;-9923.47;132.48;25119.6;4066.6;0.46;-0.63;26.7;4.33;0.0;0.0
21;10:00;0.39;22.96;0.0;0.0;9416.28;-9416.28;126.65;24913.3;3619.2;0.46;-0.58;26.9;4.34;0.0;0.0
22;10:30;0.41;22.96;0.0;0.0;9278.35;-9278.35;124.79;26373.4;3157.2;0.46;-0.53;26.9;4.35;0.0;0.0
23;11:00;0.0;22.63;0.0;0.0;3959.41;-3959.41;59.59;27422.9;3959.4;0.13;-0.5;30.1;4.35;0.0;0.0
24;11:30;0.0;22.29;0.0;0.0;6112.88;-6112.88;92.0;28033.6;6112.9;0.0;-0.5;30.1;4.35;0.0;0.0
25;12:00;0.43;22.29;0.0;0.0;13022.81;-13022.81;192.09;27875.2;6556.5;0.0;-0.52;29.5;4.35;0.0;0.0
