timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;3619.51;22.5;124.57;42.68;25.61;0.0;0.0;6750.51;-6750.51;-5.06;2344.7;0.0;131.0;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.55;0.0;4700.0;22.8;124.14;46.17;27.7;0.0;0.0;6474.27;-6474.27;-4.86;2797.1;0.0;129.4;1.0;0.0;0.3;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.25;0.0;4700.0;22.8;123.71;49.66;29.79;0.0;0.0;5595.87;-5595.87;-10.35;3062.5;0.0;132.7;1.0;0.0;0.3;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.0;1.0;4700.0;22.56;162.12;53.14;31.89;0.0;0.0;7843.48;-7843.48;-14.51;3140.9;0.0;143.5;1.0;0.0;0.06;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;0.0;22.5;161.69;53.14;31.89;0.0;0.0;744.25;-744.25;-2.12;3163.8;0.0;144.3;1.0;0.0;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;0.0;22.44;161.26;53.14;31.89;0.0;0.0;732.98;-732.98;-2.09;3054.6;0.0;133.0;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.2;0.0;4700.0;22.38;160.83;56.63;33.98;0.0;0.0;5563.49;-5563.49;-18.64;3138.5;0.0;263.5;1.0;0.0;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.55;0.0;4700.0;22.6;160.4;60.11;36.07;0.0;0.0;6881.14;-6881.14;-23.05;3408.2;0.0;545.5;1.0;0.0;0.1;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.0;0.84;0.0;22.3;187.97;60.11;36.07;0.0;0.0;3293.04;-3293.04;-9.39;3943.9;0.0;761.0;1.0;0.0;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;1.0;0.0;0.0;22.8;187.54;60.11;36.07;0.0;0.0;3922.63;-3922.63;-11.18;4808.0;0.0;922.6;1.0;0.0;0.3;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.0;0.2;0.0;22.38;193.17;60.11;36.07;0.0;0.0;1508.58;-1508.58;-1.73;5471.2;0.0;908.6;1.0;0.0;0.0;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;1.0;0.0;0.0;22.79;192.74;60.11;36.07;0.0;0.0;3669.72;-3669.72;-4.22;5755.6;0.0;669.7;1.0;0.0;0.29;-4.0;-2.3;3.72;1.02;0.0;0.0
