timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;0.0;22.52;124.57;40.0;24.0;0.0;0.0;3323.11;-3323.11;-2.49;2191.6;0.0;323.1;1.0;0.0;0.02;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;0.2;4700.0;22.36;132.06;43.49;26.09;0.0;0.0;5483.35;-5483.35;-4.11;1942.7;0.0;183.4;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.2;0.0;4700.0;22.4;131.63;46.97;28.18;0.0;0.0;5412.77;-5412.77;-10.01;1859.5;0.0;112.8;1.0;0.0;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.0;0.2;0.0;22.25;138.97;46.97;28.18;0.0;0.0;716.14;-716.14;-1.32;1953.2;0.0;116.1;1.0;0.0;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;0.0;22.27;138.54;46.97;28.18;0.0;0.0;715.98;-715.98;-2.04;2167.9;0.0;116.0;1.0;0.0;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;4700.0;22.25;138.11;50.46;30.27;0.0;0.0;5412.05;-5412.05;-15.42;2511.9;0.0;112.1;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.2;0.0;0.0;22.21;137.68;50.46;30.27;0.0;0.0;715.25;-715.25;-2.4;2912.8;0.0;115.2;1.0;0.0;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.95;0.0;0.0;22.8;137.25;50.46;30.27;0.0;0.0;2976.35;-2976.35;-9.97;3374.8;0.0;126.1;1.0;0.0;0.3;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.32;0.0;0.0;22.8;136.82;50.46;30.27;0.0;0.0;1089.33;-1089.33;-3.1;3613.6;0.0;140.4;1.0;0.0;0.3;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.32;0.0;0.0;22.8;136.38;50.46;30.27;0.0;0.0;1121.04;-1121.04;-3.19;3613.9;0.0;158.6;1.0;0.0;0.3;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.32;0.0;0.0;22.8;135.95;50.46;30.27;0.0;0.0;1288.97;-1288.97;-1.48;3586.0;0.0;322.4;1.0;0.0;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.32;0.0;0.0;22.8;135.52;50.46;30.27;0.0;0.0;1601.98;-1601.98;-1.84;3527.9;0.0;641.7;1.0;0.0;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
