timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.58;132.49;0.0;0.0;925.88;-925.88;-0.69;2169.1;0.0;325.9;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;0.0;21.43;132.06;0.0;0.0;184.1;-184.1;-0.14;1928.6;0.0;184.1;0.07;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.0;0.0;21.29;131.63;0.0;0.0;113.37;-113.37;-0.21;1836.5;0.0;113.4;0.21;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;1.0;0.0;22.06;131.2;0.0;0.0;3115.84;-3115.84;-5.76;1949.3;0.0;115.8;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;22.08;130.77;0.0;0.0;715.21;-715.21;-2.04;2138.8;0.0;115.2;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;22.07;130.34;0.0;0.0;712.31;-712.31;-2.03;2494.7;0.0;112.3;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.2;0.0;22.03;129.91;0.0;0.0;715.3;-715.3;-2.4;2855.8;0.0;115.3;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.2;0.0;21.95;129.48;0.0;0.0;725.52;-725.52;-2.43;3324.6;0.0;125.5;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.2;0.0;21.85;129.05;0.0;0.0;741.83;-741.83;-2.11;3584.7;0.0;141.8;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.32;0.0;21.85;128.62;0.0;0.0;1107.21;-1107.21;-3.16;3565.8;0.0;157.5;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.32;0.0;21.85;128.19;0.0;0.0;1275.67;-1275.67;-1.47;3544.2;0.0;320.2;0.0;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.31;0.0;21.85;127.76;0.0;0.0;1587.74;-1587.74;-1.83;3461.9;0.0;645.2;0.0;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.48;0.0;21.96;127.32;0.0;0.0;2327.77;-2327.77;-30.96;3747.0;0.0;901.5;0.0;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.66;0.0;22.17;126.89;0.0;0.0;3068.45;-3068.45;-40.81;4376.0;0.0;1093.3;0.0;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.54;0.0;22.24;116.86;0.0;0.0;2662.08;-2662.08;-24.62;4784.5;1003.9;1035.5;0.0;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.47;0.0;22.24;116.43;0.0;0.0;2100.27;-2100.27;-19.43;4905.0;0.0;700.4;0.0;-5.02;-18.5;3.54;1.0;0.0;0.0
