id of the run;Costs;Peak Load;Thermal Discomfort;Combined Score
46;[567.79];[129.17];[0.28];[1.8996773]
52;[553.49];[133.75];[0.28];[1.90965985]
55;[592.34];[128.05];[0.12];[1.93231698]
80;[546.15];[159.09];[0.29];[2.08449546]
23;545.56;178.25;0.29;2.2249563101576033
