timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;22.5;124.57;0.0;0.0;3120.07;-3120.07;15.6;2944.6;0.0;120.1;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;1.0;22.26;168.4;0.0;0.0;3133.68;-3133.68;15.67;3053.0;0.0;133.7;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.0;1.0;22.02;212.22;0.0;0.0;3132.41;-3132.41;18.64;3053.3;0.0;132.4;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.0;0.72;21.79;243.76;0.0;0.0;2282.62;-2282.62;13.58;2960.6;0.0;115.7;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;1.0;0.0;22.52;243.33;0.0;0.0;3113.19;-3113.19;14.94;3132.5;0.0;113.2;0.02;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;22.44;242.9;0.0;0.0;727.54;-727.54;3.49;3478.9;0.0;127.5;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.2;0.0;22.37;242.47;0.0;0.0;737.33;-737.33;2.88;3440.3;0.0;137.3;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.2;0.0;22.33;242.04;0.0;0.0;741.18;-741.18;2.89;3039.6;0.0;141.2;0.0;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.56;0.0;22.64;241.61;0.0;0.0;2234.27;-2234.27;9.72;3027.4;0.0;547.4;0.14;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.0;0.2;22.37;250.0;0.0;0.0;1983.15;-1983.15;8.63;3421.5;0.0;1383.1;0.0;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.74;0.0;22.8;249.57;0.0;0.0;3903.52;-3903.52;17.57;3863.4;0.0;1672.1;0.3;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.34;0.0;22.8;249.14;0.0;0.0;2449.58;-2449.58;11.02;4292.0;0.0;1433.5;0.3;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.2;0.0;22.66;248.71;0.0;0.0;1680.7;-1680.7;15.55;4373.5;0.0;1080.7;0.16;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.2;0.0;22.54;248.28;0.0;0.0;1272.71;-1272.71;11.77;4137.3;0.0;672.7;0.04;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.2;0.0;22.38;205.59;0.0;0.0;1095.91;-1095.91;17.86;4510.6;4416.6;495.9;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.41;0.0;22.37;202.67;0.0;0.0;1826.22;-1826.22;29.77;5427.7;260.9;597.4;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;0.2;0.0;22.15;202.24;0.0;0.0;1346.95;-1346.95;19.13;5408.4;0.0;747.0;0.0;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;1.0;0.0;22.8;201.81;0.0;0.0;3964.94;-3964.94;56.3;4381.4;0.0;964.9;0.3;-0.73;28.4;4.31;1.61;0.0;0.0
