timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.55;0.0;22.08;124.57;0.0;0.0;1772.13;-1772.13;-1.33;2329.9;0.0;131.1;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;1.0;0.0;22.8;124.14;0.0;0.0;3128.6;-3128.6;-2.35;2795.7;0.0;128.6;0.3;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.2;0.0;22.75;123.71;0.0;0.0;731.04;-731.04;-1.35;3034.1;0.0;131.0;0.25;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;22.69;123.28;0.0;0.0;745.1;-745.1;-1.38;3155.8;0.0;145.1;0.19;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.0;1.0;22.45;160.92;0.0;0.0;3145.35;-3145.35;-8.96;3142.5;0.0;145.4;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.26;0.0;22.45;160.49;0.0;0.0;917.82;-917.82;-2.62;3067.8;0.0;132.4;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.0;1.0;22.2;195.95;0.0;0.0;3259.82;-3259.82;-10.92;3181.1;0.0;259.8;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;0.63;21.94;217.26;0.0;0.0;2434.71;-2434.71;-8.16;3397.0;0.0;549.2;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.0;1.0;21.63;250.0;0.0;0.0;3760.29;-3760.29;-10.72;3948.8;0.0;760.3;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;1.0;0.0;22.13;249.57;0.0;0.0;3935.0;-3935.0;-11.21;4830.8;0.0;935.0;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;1.0;0.0;22.57;249.14;0.0;0.0;3898.04;-3898.04;-4.48;5473.3;0.0;898.0;0.07;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.79;0.0;22.8;248.71;0.0;0.0;3028.87;-3028.87;-3.48;5783.0;0.0;669.1;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
