timeslot;time of day;simulationResult_electricalLoad_combined;simulationResult_RESGeneration_combined;simulationResult_PVGeneration_combined;simulationResult_SurplusEnergy_combined;simulationResult_costs_combined
1;00:00;123059.15;0.0;0.0;0.0;-92.29
2;00:30;123059.0;0.0;0.0;0.0;-92.29
3;01:00;123059.7;0.0;0.0;0.0;-227.66
4;01:30;123058.77;0.0;0.0;0.0;-227.66
5;02:00;123059.15;0.0;0.0;0.0;-350.72
6;02:30;123059.45;0.0;0.0;0.0;-350.72
7;03:00;123057.35;0.0;0.0;0.0;-412.24
8;03:30;123059.33;0.0;0.0;0.0;-412.25
9;04:00;123058.59;0.0;0.0;0.0;-350.72
10;04:30;123061.12;0.0;0.0;0.0;-350.72
11;05:00;123058.47;0.0;0.0;0.0;-141.52
12;05:30;123058.99;0.0;0.0;0.0;-141.52
13;06:00;123057.81;0.0;0.0;0.0;-1636.67
14;06:30;123058.36;0.0;0.0;0.0;-1636.68
15;07:00;123059.54;0.0;0.0;0.0;-1138.3
16;07:30;123058.5;0.0;0.0;0.0;-1138.29
17;08:00;123059.6;0.0;0.0;0.0;-523.0
18;08:30;123058.32;0.0;0.0;0.0;-523.0
19;09:00;123057.17;0.0;0.0;0.0;-6.15
20;09:30;123058.12;0.0;0.0;0.0;-6.15
21;10:00;123057.78;0.0;0.0;0.0;246.12
22;10:30;123058.52;0.0;0.0;0.0;246.12
23;11:00;123058.27;0.0;0.0;0.0;510.69
24;11:30;123057.86;0.0;0.0;0.0;510.69
25;12:00;123059.4;0.0;0.0;0.0;436.86
26;12:30;123059.39;0.0;0.0;0.0;436.86
27;13:00;123057.91;0.0;0.0;0.0;-104.6
28;13:30;123060.85;0.0;0.0;0.0;-104.6
29;14:00;123058.65;0.0;0.0;0.0;-104.6
30;14:30;123059.07;0.0;0.0;0.0;-104.6
31;15:00;123059.63;0.0;0.0;0.0;-209.2
32;15:30;123057.85;0.0;0.0;0.0;-209.2
33;16:00;123059.99;0.0;0.0;0.0;-61.53
34;16:30;123058.44;0.0;0.0;0.0;-61.53
35;17:00;59873.53;0.0;0.0;0.0;356.25
36;17:30;54466.96;0.0;0.0;0.0;324.08
37;18:00;121569.22;0.0;0.0;0.0;595.69
38;18:30;55076.3;0.0;0.0;0.0;269.87
39;19:00;52299.76;0.0;0.0;0.0;347.79
40;19:30;45707.51;0.0;0.0;0.0;303.95
41;20:00;107491.49;0.0;0.0;0.0;429.97
42;20:30;102695.94;0.0;0.0;0.0;410.78
43;21:00;113911.1;0.0;0.0;0.0;438.56
44;21:30;123058.93;0.0;0.0;0.0;473.78
45;22:00;43737.4;0.0;0.0;0.0;188.07
46;22:30;38156.08;0.0;0.0;0.0;164.07
47;23:00;123059.88;0.0;0.0;0.0;-221.51
48;23:30;123058.73;0.0;0.0;0.0;-221.51
