timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.0;21.59;124.57;0.0;0.0;130.03;-130.03;-0.1;2012.0;0.0;130.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;0.0;21.39;124.14;0.0;0.0;133.8;-133.8;-0.1;2627.1;0.0;133.8;0.11;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.58;0.0;21.69;123.71;0.0;0.0;1862.74;-1862.74;-3.45;3037.3;0.0;127.2;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;1.0;0.0;22.37;123.28;0.0;0.0;3109.64;-3109.64;-5.75;3228.3;0.0;109.6;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.0;0.83;22.12;154.49;0.0;0.0;2602.97;-2602.97;-7.42;3244.2;0.0;110.0;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;22.07;154.06;0.0;0.0;729.46;-729.46;-2.08;3072.8;0.0;129.5;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;1.0;0.0;22.73;153.63;0.0;0.0;3146.73;-3146.73;-10.54;3138.5;0.0;146.7;0.23;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;1.0;22.46;187.79;0.0;0.0;3161.63;-3161.63;-10.59;3457.6;0.0;161.6;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.0;1.0;22.17;220.53;0.0;0.0;3281.18;-3281.18;-9.35;3762.5;0.0;281.2;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;1.0;0.0;22.73;220.1;0.0;0.0;3512.6;-3512.6;-10.01;4052.3;0.0;512.6;0.23;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.0;1.0;22.37;250.0;0.0;0.0;3759.53;-3759.53;-4.32;4629.8;0.0;759.5;0.0;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;1.0;0.0;22.8;249.57;0.0;0.0;4023.03;-4023.03;-4.63;5515.1;0.0;1023.0;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.54;0.0;22.8;249.14;0.0;0.0;2669.24;-2669.24;-35.5;5913.6;0.0;1046.2;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.54;0.0;22.8;248.71;0.0;0.0;2430.18;-2430.18;-32.32;5791.8;0.0;812.6;0.3;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.0;0.0;22.36;233.71;0.0;0.0;621.5;-621.5;-5.75;5705.7;1522.1;621.5;0.0;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.0;0.0;21.92;233.28;0.0;0.0;475.93;-475.93;-4.4;5657.9;0.0;475.9;0.0;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;1.0;0.0;22.28;232.85;0.0;0.0;3347.12;-3347.12;-14.23;5671.3;0.0;347.1;0.0;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;1.0;0.0;22.62;232.42;0.0;0.0;3236.23;-3236.23;-13.75;5750.2;0.0;236.2;0.12;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;0.2;0.0;22.31;224.58;0.0;0.0;899.58;-899.58;-0.04;5987.5;775.0;299.6;0.0;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;0.2;0.0;21.97;224.15;0.0;0.0;1149.19;-1149.19;-0.06;6394.0;0.0;549.2;0.0;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;1.0;0.0;22.27;223.72;0.0;0.0;3623.18;-3623.18;7.25;6384.8;0.0;623.2;0.0;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;1.0;0.0;22.61;222.37;0.0;0.0;3509.43;-3509.43;7.02;5931.3;96.0;509.4;0.11;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;0.2;0.0;22.35;221.94;0.0;0.0;979.43;-979.43;4.06;5567.9;0.0;379.4;0.0;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.2;0.0;22.1;221.51;0.0;0.0;832.07;-832.07;3.45;5301.0;0.0;232.1;0.0;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;1.0;0.0;22.54;221.08;0.0;0.0;3433.85;-3433.85;12.19;5025.9;0.0;433.8;0.04;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.2;0.0;22.34;220.65;0.0;0.0;1608.84;-1608.84;5.71;4742.0;0.0;1008.8;0.0;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.47;0.0;22.36;220.22;0.0;0.0;2685.21;-2685.21;-2.28;4801.2;0.0;1280.0;0.0;-4.45;-1.7;3.64;1.0;0.0;0.0
28;13:30;1.0;0.0;22.8;219.78;0.0;0.0;4226.39;-4226.39;-3.59;5227.2;0.0;1226.4;0.3;-4.35;-1.7;3.66;1.0;0.0;0.0
29;14:00;0.2;0.0;22.55;219.35;0.0;0.0;1625.53;-1625.53;-1.38;5455.7;0.0;1025.5;0.05;-4.25;-1.7;3.67;1.0;0.0;0.0
30;14:30;0.2;0.0;22.3;179.06;0.0;0.0;1267.29;-1267.29;-1.08;5473.2;4166.7;667.3;0.0;-4.15;-1.7;3.69;1.0;0.0;0.0
31;15:00;1.0;0.0;22.72;178.63;0.0;0.0;3488.37;-3488.37;-5.93;5499.7;0.0;488.4;0.22;-4.08;-3.4;3.71;1.01;0.0;0.0
32;15:30;0.2;0.0;22.47;176.98;0.0;0.0;1101.14;-1101.14;-1.87;5535.7;127.4;501.1;0.0;-4.03;-3.4;3.72;1.02;0.0;0.0
33;16:00;0.41;0.0;22.38;176.55;0.0;0.0;1762.16;-1762.16;-0.88;5616.2;0.0;532.2;0.0;-3.95;-1.0;3.73;1.03;0.0;0.0
34;16:30;1.0;0.0;22.8;176.12;0.0;0.0;3582.7;-3582.7;-1.79;5744.0;0.0;582.7;0.3;-3.85;-1.0;3.75;1.05;0.0;0.0
35;17:00;0.0;0.0;22.38;175.69;0.0;0.0;765.8;-765.8;4.56;5415.2;0.0;765.8;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
36;17:30;0.0;0.0;22.03;175.26;0.0;0.0;1090.62;-1090.62;6.49;4598.4;0.0;1090.6;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
37;18:00;0.97;0.0;22.5;174.83;0.0;0.0;4279.77;-4279.77;20.97;4579.4;0.0;1378.2;0.0;-3.87;9.8;3.74;1.04;0.0;0.0
38;18:30;0.0;0.0;22.09;174.4;0.0;0.0;1625.86;-1625.86;7.97;5413.4;0.0;1625.9;0.0;-4.02;9.8;3.72;1.02;0.0;0.0
39;19:00;0.0;0.0;21.64;173.97;0.0;0.0;1442.16;-1442.16;9.59;5795.7;0.0;1442.2;0.0;-3.91;13.3;3.74;1.04;0.0;0.0
40;19:30;0.0;0.0;21.2;173.54;0.0;0.0;797.32;-797.32;5.3;5695.4;0.0;797.3;0.3;-3.51;13.3;3.81;1.11;0.0;0.0
41;20:00;0.47;0.0;21.2;171.49;0.0;0.0;1966.09;-1966.09;7.86;5493.2;169.3;545.3;0.3;-3.01;8.0;3.9;1.2;0.0;0.0
42;20:30;0.43;0.0;21.2;171.06;0.0;0.0;2017.87;-2017.87;8.07;5182.1;0.0;713.2;0.3;-2.41;8.0;4.01;1.31;0.0;0.0
43;21:00;1.0;0.0;21.76;170.63;0.0;0.0;3793.78;-3793.78;14.61;4927.3;0.0;793.8;0.0;-1.86;7.7;4.11;1.41;0.0;0.0
44;21:30;0.31;0.0;21.69;93.18;0.0;0.0;1698.81;-1698.81;6.54;4732.8;8050.4;781.1;0.0;-1.36;7.7;4.2;1.5;0.0;0.0
45;22:00;0.0;0.0;21.39;92.75;0.0;0.0;630.57;-630.57;2.71;3910.1;0.0;630.6;0.11;-0.98;8.6;4.26;1.56;0.0;0.0
46;22:30;0.0;0.0;21.2;92.32;0.0;0.0;332.65;-332.65;1.43;2415.9;0.0;332.7;0.3;-0.73;8.6;4.31;1.61;0.0;0.0
47;23:00;0.47;0.0;21.52;91.88;0.0;0.0;1554.28;-1554.28;-2.8;1826.7;0.0;157.5;0.0;-0.48;-3.6;4.35;1.65;0.0;0.0
48;23:30;0.0;0.2;21.35;101.21;0.0;0.0;713.51;-713.51;-1.28;2204.9;0.0;113.5;0.15;-0.23;-3.6;4.4;1.7;0.0;0.0
