timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;21.58;132.49;0.0;0.0;721.26;-721.26;-0.54;0.0;0.0;0.0;0.0;-2.0;-1.5;4.08;1.38
2;00:30;0.0;0.0;21.4;132.06;0.0;0.0;121.22;-121.22;-0.09;0.0;0.0;0.0;0.1;-2.0;-1.5;4.08;1.38
3;01:00;0.0;0.0;21.2;131.63;0.0;0.0;121.87;-121.87;-0.23;0.0;0.0;0.0;0.3;-2.05;-3.7;4.07;1.37
4;01:30;1.0;0.0;21.92;131.2;0.0;0.0;3121.7;-3121.7;-5.78;0.0;0.0;0.0;0.0;-2.15;-3.7;4.05;1.35
5;02:00;0.24;0.0;21.92;130.77;0.0;0.0;855.76;-855.76;-2.44;0.0;0.0;0.0;0.0;-2.3;-5.7;4.03;1.33
6;02:30;0.26;0.0;21.92;130.34;0.0;0.0;927.43;-927.43;-2.64;0.0;0.0;0.0;0.0;-2.5;-5.7;3.99;1.29
7;03:00;0.28;0.0;21.92;129.91;0.0;0.0;983.17;-983.17;-3.29;0.0;0.0;0.0;0.0;-2.72;-6.7;3.95;1.25
8;03:30;0.29;0.0;21.92;129.48;0.0;0.0;1029.11;-1029.11;-3.45;0.0;0.0;0.0;0.0;-2.97;-6.7;3.91;1.21
9;04:00;0.3;0.0;21.92;129.05;0.0;0.0;1200.5;-1200.5;-3.42;0.0;0.0;0.0;0.0;-3.24;-5.7;3.86;1.16
10;04:30;0.32;0.0;21.92;128.62;0.0;0.0;1541.63;-1541.63;-4.39;0.0;0.0;0.0;0.0;-3.54;-5.7;3.8;1.1
11;05:00;0.35;0.0;21.92;128.19;0.0;0.0;1898.48;-1898.48;-2.18;0.0;0.0;0.0;0.0;-3.8;-2.3;3.76;1.06
12;05:30;0.42;0.0;21.92;127.76;0.0;0.0;2320.97;-2320.97;-2.67;0.0;0.0;0.0;0.0;-4.0;-2.3;3.72;1.02
13;06:00;0.48;0.0;21.92;127.32;0.0;0.0;2484.98;-2484.98;-33.05;0.0;0.0;0.0;0.0;-4.27;-26.6;3.67;1.0
14;06:30;0.53;0.0;21.92;126.89;0.0;0.0;2332.71;-2332.71;-31.03;0.0;0.0;0.0;0.0;-4.62;-26.6;3.61;1.0
15;07:00;0.56;0.0;21.92;84.83;0.0;0.0;2205.08;-2205.08;-20.4;0.0;0.0;0.0;0.0;-4.87;-18.5;3.56;1.0
16;07:30;0.0;1.0;21.47;94.95;0.0;0.0;3419.74;-3419.74;-31.63;0.0;0.0;0.0;0.03;-5.02;-18.5;3.54;1.0
17;08:00;1.0;0.0;21.8;94.32;0.0;0.0;3310.38;-3310.38;-14.07;0.0;0.0;0.0;0.0;-5.34;-8.5;3.48;1.0
18;08:30;0.65;0.0;21.8;88.07;0.0;0.0;2183.36;-2183.36;-9.28;0.0;0.0;0.0;0.0;-5.84;-8.5;3.39;1.0
19;09:00;0.66;0.0;21.8;87.64;0.0;0.0;2300.45;-2300.45;-0.12;0.0;0.0;0.0;0.0;-6.03;-0.1;3.36;1.0
20;09:30;0.0;1.0;21.34;79.02;0.0;0.0;3610.14;-3610.14;-0.18;0.0;0.0;0.0;0.16;-5.88;-0.1;3.38;1.0
21;10:00;1.0;0.0;21.69;78.59;0.0;0.0;3692.12;-3692.12;7.38;0.0;0.0;0.0;0.0;-5.63;4.0;3.43;1.0
22;10:30;0.0;1.0;21.26;106.86;0.0;0.0;3558.32;-3558.32;7.12;0.0;0.0;0.0;0.24;-5.28;4.0;3.49;1.0
23;11:00;1.0;0.0;21.68;106.43;0.0;0.0;3416.81;-3416.81;14.18;0.0;0.0;0.0;0.0;-4.98;8.3;3.54;1.0
24;11:30;1.0;0.0;22.11;106.0;0.0;0.0;3262.24;-3262.24;13.54;0.0;0.0;0.0;0.0;-4.73;8.3;3.59;1.0
25;12:00;0.2;0.0;21.91;105.57;0.0;0.0;1046.59;-1046.59;3.72;0.0;0.0;0.0;0.0;-4.58;7.1;3.62;1.0
26;12:30;0.38;0.0;21.91;104.55;0.0;0.0;2104.27;-2104.27;7.47;0.0;0.0;0.0;0.0;-4.53;7.1;3.63;1.0
27;13:00;0.37;0.0;21.91;104.12;0.0;0.0;2355.41;-2355.41;-2.0;0.0;0.0;0.0;0.0;-4.45;-1.7;3.64;1.0
28;13:30;0.41;0.0;21.91;103.69;0.0;0.0;2483.8;-2483.8;-2.11;0.0;0.0;0.0;0.0;-4.35;-1.7;3.66;1.0
29;14:00;0.44;0.0;21.91;103.26;0.0;0.0;2392.83;-2392.83;-2.03;0.0;0.0;0.0;0.0;-4.25;-1.7;3.67;1.0
30;14:30;0.43;0.0;21.91;102.83;0.0;0.0;2036.61;-2036.61;-1.73;0.0;0.0;0.0;0.0;-4.15;-1.7;3.69;1.0
31;15:00;0.43;0.0;21.91;102.4;0.0;0.0;1885.39;-1885.39;-3.21;0.0;0.0;0.0;0.0;-4.08;-3.4;3.71;1.01
32;15:30;0.43;0.0;21.91;101.97;0.0;0.0;1892.11;-1892.11;-3.22;0.0;0.0;0.0;0.0;-4.03;-3.4;3.72;1.02
33;16:00;0.43;0.0;21.91;101.54;0.0;0.0;1884.0;-1884.0;-0.94;0.0;0.0;0.0;0.0;-3.95;-1.0;3.73;1.03
34;16:30;0.44;0.0;21.91;101.11;0.0;0.0;1874.07;-1874.07;-0.94;0.0;0.0;0.0;0.0;-3.85;-1.0;3.75;1.05
35;17:00;0.44;0.0;21.91;100.67;0.0;0.0;1999.46;-1999.46;11.9;0.0;0.0;0.0;0.0;-3.8;11.9;3.76;1.06
36;17:30;0.43;0.0;21.91;100.24;0.0;0.0;2261.83;-2261.83;13.46;0.0;0.0;0.0;0.0;-3.8;11.9;3.76;1.06
37;18:00;0.43;0.0;21.91;99.81;0.0;0.0;2511.88;-2511.88;12.31;0.0;0.0;0.0;0.0;-3.87;9.8;3.74;1.04
38;18:30;0.42;0.0;21.91;95.69;0.0;0.0;2683.35;-2683.35;13.15;0.0;0.0;0.0;0.0;-4.02;9.8;3.72;1.02
39;19:00;0.43;0.0;21.91;95.26;0.0;0.0;2538.74;-2538.74;16.88;0.0;0.0;0.0;0.0;-3.91;13.3;3.74;1.04
40;19:30;0.43;0.0;21.91;94.83;0.0;0.0;2053.15;-2053.15;13.65;0.0;0.0;0.0;0.0;-3.51;13.3;3.81;1.11
41;20:00;0.41;0.0;21.91;92.2;0.0;0.0;1777.45;-1777.45;7.11;0.0;0.0;0.0;0.0;-3.01;8.0;3.9;1.2
42;20:30;0.36;0.0;21.91;89.65;0.0;0.0;1731.7;-1731.7;6.93;0.0;0.0;0.0;0.0;-2.41;8.0;4.01;1.31
43;21:00;0.34;0.0;21.91;89.21;0.0;0.0;1718.13;-1718.13;6.61;0.0;0.0;0.0;0.0;-1.86;7.7;4.11;1.41
44;21:30;0.35;0.0;21.91;88.78;0.0;0.0;1731.8;-1731.8;6.67;0.0;0.0;0.0;0.0;-1.36;7.7;4.2;1.5
45;22:00;0.29;0.0;21.91;88.35;0.0;0.0;1439.92;-1439.92;6.19;0.0;0.0;0.0;0.0;-0.98;8.6;4.26;1.56
46;22:30;0.2;0.0;21.92;87.92;0.0;0.0;889.35;-889.35;3.82;0.0;0.0;0.0;0.0;-0.73;8.6;4.31;1.61
47;23:00;0.2;0.0;21.98;87.49;0.0;0.0;742.68;-742.68;-1.34;0.0;0.0;0.0;0.0;-0.48;-3.6;4.35;1.65
48;23:30;0.2;0.0;22.03;87.06;0.0;0.0;720.71;-720.71;-1.3;2003.3;0.0;120.7;0.0;-0.23;-3.6;4.4;1.7
