timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;21.59;132.49;0.0;0.0;730.03;-730.03;-0.55;0.0;0.0;0.0;0.0;-2.0;-1.5;4.08;1.38
2;00:30;0.0;0.0;21.39;132.06;0.0;0.0;133.8;-133.8;-0.1;0.0;0.0;0.0;0.11;-2.0;-1.5;4.08;1.38
3;01:00;1.0;0.0;22.09;131.63;0.0;0.0;3127.24;-3127.24;-5.79;0.0;0.0;0.0;0.0;-2.05;-3.7;4.07;1.37
4;01:30;0.2;0.0;22.02;131.2;0.0;0.0;709.64;-709.64;-1.31;0.0;0.0;0.0;0.0;-2.15;-3.7;4.05;1.35
5;02:00;0.2;0.0;21.96;130.77;0.0;0.0;709.97;-709.97;-2.02;0.0;0.0;0.0;0.0;-2.3;-5.7;4.03;1.33
6;02:30;0.2;0.0;21.9;130.34;0.0;0.0;729.46;-729.46;-2.08;0.0;0.0;0.0;0.0;-2.5;-5.7;3.99;1.29
7;03:00;0.27;0.0;21.9;129.91;0.0;0.0;952.63;-952.63;-3.19;0.0;0.0;0.0;0.0;-2.72;-6.7;3.95;1.25
8;03:30;0.3;0.0;21.9;129.48;0.0;0.0;1058.53;-1058.53;-3.55;0.0;0.0;0.0;0.0;-2.97;-6.7;3.91;1.21
9;04:00;0.33;0.0;21.9;129.05;0.0;0.0;1268.63;-1268.63;-3.62;0.0;0.0;0.0;0.0;-3.24;-5.7;3.86;1.16
10;04:30;0.36;0.0;21.9;128.62;0.0;0.0;1590.29;-1590.29;-4.53;0.0;0.0;0.0;0.0;-3.54;-5.7;3.8;1.1
11;05:00;0.41;0.0;21.9;128.19;0.0;0.0;2003.96;-2003.96;-2.3;0.0;0.0;0.0;0.0;-3.8;-2.3;3.76;1.06
12;05:30;0.5;0.0;21.9;127.76;0.0;0.0;2517.44;-2517.44;-2.9;0.0;0.0;0.0;0.0;-4.0;-2.3;3.72;1.02
13;06:00;0.54;0.0;21.9;127.32;0.0;0.0;2669.15;-2669.15;-35.5;0.0;0.0;0.0;0.0;-4.27;-26.6;3.67;1.0
14;06:30;0.54;0.0;21.9;126.89;0.0;0.0;2430.07;-2430.07;-32.32;0.0;0.0;0.0;0.0;-4.62;-26.6;3.61;1.0
15;07:00;0.54;0.0;21.9;111.9;0.0;0.0;2235.54;-2235.54;-20.68;0.0;0.0;0.0;0.0;-4.87;-18.5;3.56;1.0
16;07:30;0.54;0.0;21.9;111.47;0.0;0.0;2088.75;-2088.75;-19.32;0.0;0.0;0.0;0.0;-5.02;-18.5;3.54;1.0
17;08:00;0.55;0.0;21.9;111.04;0.0;0.0;1990.44;-1990.44;-8.46;0.0;0.0;0.0;0.0;-5.34;-8.5;3.48;1.0
18;08:30;0.57;0.0;21.9;110.61;0.0;0.0;1946.49;-1946.49;-8.27;0.0;0.0;0.0;0.0;-5.84;-8.5;3.39;1.0
