timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;21.58;132.49;0.0;0.0;722.03;-722.03;-0.54;0.0;0.0;0.0;0.0;-2.0;-1.5;4.08;1.38
2;00:30;0.0;0.0;21.4;132.06;0.0;0.0;122.03;-122.03;-0.09;0.0;0.0;0.0;0.1;-2.0;-1.5;4.08;1.38
3;01:00;1.0;0.0;22.13;131.63;0.0;0.0;3122.03;-3122.03;-5.78;0.0;0.0;0.0;0.0;-2.05;-3.7;4.07;1.37
4;01:30;0.2;0.0;22.1;131.2;0.0;0.0;722.03;-722.03;-1.34;0.0;0.0;0.0;0.0;-2.15;-3.7;4.05;1.35
5;02:00;0.2;0.0;22.06;130.77;0.0;0.0;729.32;-729.32;-2.08;0.0;0.0;0.0;0.0;-2.3;-5.7;4.03;1.33
6;02:30;0.2;0.0;22.0;130.34;0.0;0.0;744.42;-744.42;-2.12;0.0;0.0;0.0;0.0;-2.5;-5.7;3.99;1.29
7;03:00;0.2;0.0;21.93;129.91;0.0;0.0;752.21;-752.21;-2.52;0.0;0.0;0.0;0.0;-2.72;-6.7;3.95;1.25
8;03:30;0.29;0.0;21.93;129.48;0.0;0.0;1035.67;-1035.67;-3.47;0.0;0.0;0.0;0.0;-2.97;-6.7;3.91;1.21
9;04:00;0.31;0.0;21.93;129.05;0.0;0.0;1216.8;-1216.8;-3.47;0.0;0.0;0.0;0.0;-3.24;-5.7;3.86;1.16
10;04:30;0.32;0.0;21.93;128.62;0.0;0.0;1540.24;-1540.24;-4.39;0.0;0.0;0.0;0.0;-3.54;-5.7;3.8;1.1
11;05:00;0.36;0.0;21.93;128.19;0.0;0.0;1914.87;-1914.87;-2.2;0.0;0.0;0.0;0.0;-3.8;-2.3;3.76;1.06
12;05:30;0.43;0.0;21.93;127.76;0.0;0.0;2346.3;-2346.3;-2.7;0.0;0.0;0.0;0.0;-4.0;-2.3;3.72;1.02
13;06:00;0.49;0.0;21.93;127.32;0.0;0.0;2501.5;-2501.5;-33.27;0.0;0.0;0.0;0.0;-4.27;-26.6;3.67;1.0
14;06:30;0.54;0.0;21.93;126.89;0.0;0.0;2362.21;-2362.21;-31.42;0.0;0.0;0.0;0.0;-4.62;-26.6;3.61;1.0
15;07:00;0.57;0.0;21.93;83.56;0.0;0.0;2232.13;-2232.13;-20.65;0.0;0.0;0.0;0.0;-4.87;-18.5;3.56;1.0
16;07:30;0.0;1.0;21.47;92.44;0.0;0.0;3419.39;-3419.39;-31.63;0.0;0.0;0.0;0.03;-5.02;-18.5;3.54;1.0
17;08:00;1.0;0.0;21.8;91.8;0.0;0.0;3313.93;-3313.93;-14.08;0.0;0.0;0.0;0.0;-5.34;-8.5;3.48;1.0
18;08:30;0.65;0.0;21.8;85.66;0.0;0.0;2180.51;-2180.51;-9.27;0.0;0.0;0.0;0.0;-5.84;-8.5;3.39;1.0
19;09:00;0.66;0.0;21.8;85.22;0.0;0.0;2301.6;-2301.6;-0.12;0.0;0.0;0.0;0.0;-6.03;-0.1;3.36;1.0
20;09:30;0.0;1.0;21.32;74.67;0.0;0.0;3604.85;-3604.85;-0.18;0.0;0.0;0.0;0.18;-5.88;-0.1;3.38;1.0
21;10:00;1.0;0.0;21.66;74.24;0.0;0.0;3691.38;-3691.38;7.38;0.0;0.0;0.0;0.0;-5.63;4.0;3.43;1.0
22;10:30;0.0;1.0;21.24;102.51;0.0;0.0;3556.06;-3556.06;7.11;0.0;0.0;0.0;0.26;-5.28;4.0;3.49;1.0
23;11:00;1.0;0.0;21.65;102.08;0.0;0.0;3413.28;-3413.28;14.17;0.0;0.0;0.0;0.0;-4.98;8.3;3.54;1.0
24;11:30;1.0;0.0;22.07;101.65;0.0;0.0;3262.52;-3262.52;13.54;0.0;0.0;0.0;0.0;-4.73;8.3;3.59;1.0
25;12:00;0.2;0.0;21.87;101.22;0.0;0.0;1043.38;-1043.38;3.7;0.0;0.0;0.0;0.0;-4.58;7.1;3.62;1.0
26;12:30;0.38;0.0;21.87;100.17;0.0;0.0;2122.61;-2122.61;7.54;0.0;0.0;0.0;0.0;-4.53;7.1;3.63;1.0
27;13:00;0.37;0.0;21.87;99.74;0.0;0.0;2364.18;-2364.18;-2.01;0.0;0.0;0.0;0.0;-4.45;-1.7;3.64;1.0
28;13:30;0.42;0.0;21.87;99.31;0.0;0.0;2494.83;-2494.83;-2.12;0.0;0.0;0.0;0.0;-4.35;-1.7;3.66;1.0
29;14:00;0.44;0.0;21.87;98.88;0.0;0.0;2397.23;-2397.23;-2.04;0.0;0.0;0.0;0.0;-4.25;-1.7;3.67;1.0
30;14:30;0.43;0.0;21.87;98.45;0.0;0.0;2056.86;-2056.86;-1.75;0.0;0.0;0.0;0.0;-4.15;-1.7;3.69;1.0
31;15:00;0.43;0.0;21.87;98.02;0.0;0.0;1885.72;-1885.72;-3.21;0.0;0.0;0.0;0.0;-4.08;-3.4;3.71;1.01
32;15:30;0.43;0.0;21.87;97.59;0.0;0.0;1895.35;-1895.35;-3.22;0.0;0.0;0.0;0.0;-4.03;-3.4;3.72;1.02
33;16:00;0.44;0.0;21.87;97.16;0.0;0.0;1894.63;-1894.63;-0.95;0.0;0.0;0.0;0.0;-3.95;-1.0;3.73;1.03
34;16:30;0.44;0.0;21.87;96.73;0.0;0.0;1882.81;-1882.81;-0.94;0.0;0.0;0.0;0.0;-3.85;-1.0;3.75;1.05
35;17:00;0.44;0.0;21.87;96.3;0.0;0.0;2010.0;-2010.0;11.96;0.0;0.0;0.0;0.0;-3.8;11.9;3.76;1.06
36;17:30;0.44;0.0;21.87;95.86;0.0;0.0;2285.89;-2285.89;13.6;0.0;0.0;0.0;0.0;-3.8;11.9;3.76;1.06
37;18:00;0.43;0.0;21.87;95.43;0.0;0.0;2511.0;-2511.0;12.3;0.0;0.0;0.0;0.0;-3.87;9.8;3.74;1.04
38;18:30;0.43;0.0;21.87;91.38;0.0;0.0;2681.82;-2681.82;13.14;0.0;0.0;0.0;0.0;-4.02;9.8;3.72;1.02
39;19:00;0.43;0.0;21.87;90.95;0.0;0.0;2543.27;-2543.27;16.91;0.0;0.0;0.0;0.0;-3.91;13.3;3.74;1.04
40;19:30;0.44;0.0;21.87;90.52;0.0;0.0;2073.64;-2073.64;13.79;0.0;0.0;0.0;0.0;-3.51;13.3;3.81;1.11
41;20:00;0.42;0.0;21.87;87.87;0.0;0.0;1801.49;-1801.49;7.21;0.0;0.0;0.0;0.0;-3.01;8.0;3.9;1.2
42;20:30;0.37;0.0;21.87;85.32;0.0;0.0;1746.56;-1746.56;6.99;0.0;0.0;0.0;0.0;-2.41;8.0;4.01;1.31
43;21:00;0.35;0.0;21.87;84.89;0.0;0.0;1724.11;-1724.11;6.64;0.0;0.0;0.0;0.0;-1.86;7.7;4.11;1.41
44;21:30;0.35;0.0;21.87;84.45;0.0;0.0;1730.43;-1730.43;6.66;0.0;0.0;0.0;0.0;-1.36;7.7;4.2;1.5
45;22:00;0.3;0.0;21.87;84.02;0.0;0.0;1448.3;-1448.3;6.23;0.0;0.0;0.0;0.0;-0.98;8.6;4.26;1.56
46;22:30;0.2;0.0;21.88;83.59;0.0;0.0;889.5;-889.5;3.82;0.0;0.0;0.0;0.0;-0.73;8.6;4.31;1.61
47;23:00;0.2;0.0;21.94;83.16;0.0;0.0;742.06;-742.06;-1.34;0.0;0.0;0.0;0.0;-0.48;-3.6;4.35;1.65
48;23:30;0.2;0.0;21.98;82.73;0.0;0.0;721.04;-721.04;-1.3;2019.4;0.0;121.0;0.0;-0.23;-3.6;4.4;1.7
