timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating)
1;00:00;0.2;21.8;0.0;0.0;4638.17;-4638.17;-3.48;7847.0;1638.2;0.0;-2.0;-1.5;4.08
2;00:30;0.2;21.84;0.0;0.0;4398.72;-4398.72;-3.3;8321.3;1398.7;0.0;-2.0;-1.5;4.08
3;01:00;0.2;21.88;0.0;0.0;4249.39;-4249.39;-7.86;8714.4;1249.4;0.0;-2.05;-3.7;4.07
4;01:30;0.2;21.92;0.0;0.0;4196.38;-4196.38;-7.76;9020.7;1196.4;0.0;-2.15;-3.7;4.05
5;02:00;0.2;21.94;0.0;0.0;4171.4;-4171.4;-11.89;9686.0;1171.4;0.0;-2.3;-5.7;4.03
6;02:30;0.2;21.96;0.0;0.0;4176.39;-4176.39;-11.9;10735.0;1176.4;0.0;-2.5;-5.7;3.99
7;03:00;0.2;21.95;0.0;0.0;4368.93;-4368.93;-14.64;12044.2;1368.9;0.0;-2.72;-6.7;3.95
8;03:30;0.2;21.92;0.0;0.0;4761.97;-4761.97;-15.95;13631.4;1762.0;0.0;-2.97;-6.7;3.91
9;04:00;0.26;21.92;0.0;0.0;5784.32;-5784.32;-16.49;15044.8;1824.2;0.0;-3.24;-5.7;3.86
10;04:30;0.29;21.92;0.0;0.0;5872.08;-5872.08;-16.74;16272.4;1532.8;0.0;-3.54;-5.7;3.8
11;05:00;0.32;21.92;0.0;0.0;6854.69;-6854.69;-7.88;18041.2;1992.3;0.0;-3.8;-2.3;3.76
12;05:30;0.37;21.92;0.0;0.0;8794.68;-8794.68;-10.11;20388.6;3254.3;0.0;-4.0;-2.3;3.72
13;06:00;0.46;21.92;0.0;0.0;11027.36;-11027.36;-146.66;25113.5;4126.1;0.0;-4.27;-26.6;3.67
14;06:30;0.6;21.92;0.0;0.0;13616.1;-13616.1;-181.09;32379.6;4580.7;0.0;-4.62;-26.6;3.61
