Costs;Peak Load;id of the run;Thermal Discomfort
713.86;146.57;35;0.19
713.96;145.49;36;0.19
714.32;145.26;38;0.19
714.34;144.81;21;0.19
714.39;144.22;41;0.19
714.57;143.7;22;0.19
714.64;143.24;23;0.2
714.65;143.05;44;0.19
714.71;142.85;13;0.2
714.77;142.66;45;0.2
714.96;141.87;47;0.2
715.1;141.68;25;0.19
715.15;141.48;48;0.2
715.24;140.89;26;0.21
715.49;140.7;50;0.19
715.56;140.11;27;0.19
715.7;139.92;52;0.21
715.78;139.52;53;0.2
715.89;139.13;54;0.22
715.92;138.35;56;0.21
716.08;137.76;30;0.2
716.13;137.17;59;0.2
716.31;136.98;31;0.21
716.39;136.78;60;0.21
716.58;136.2;32;0.2
716.67;135.8;10;0.22
716.76;135.61;63;0.21
716.77;135.41;33;0.22
716.91;135.22;64;0.2
716.96;134.83;65;0.21
717.08;134.63;34;0.22
717.27;134.24;3;0.21
730.41;121.71;2;0.19
710.8;167.14;100;0.18
728.3;121.67;101;0.2
717.38;132.68;102;0.22
713.36;147.16;103;0.18
713.2;150.11;104;0.18
713.22;150.08;105;0.17
708.72;218.69;106;0.17
710.04;153.39;107;0.18
708.98;187.18;108;0.17
709.93;154.54;109;0.18
708.85;201.78;110;0.15
714.96;142.23;111;0.2
714.97;142.1;112;0.19
720.06;127.68;113;0.19
719.02;129.58;114;0.22
722.59;124.44;115;0.18
722.97;124.41;116;0.18
725.33;123.48;117;0.17
724.59;123.84;118;0.17
723.02;124.45;119;0.18
723.55;124.3;120;0.18
