Costs;Peak Load;id of the run;Thermal Discomfort
584.63;108.57;35;0.2
584.64;107.5;38;0.19
584.85;107.15;39;0.19
584.91;106.61;12;0.19
584.92;105.54;23;0.19
584.93;100.56;30;0.17
585.22;100.38;58;0.18
585.4;98.12;3;0.16
585.93;96.18;102;0.18
584.52;108.75;105;0.19
589.3;88.92;111;0.17
591.94;87.85;117;0.16
588.73;88.94;118;0.18
590.36;88.27;120;0.16
594.9;86.94;122;0.15
593.55;87.14;124;0.17
586.67;89.26;125;0.2
591.9;87.9;126;0.14
593.31;87.57;128;0.17
589.77;88.73;135;0.16
591.15;87.91;138;0.16
591.05;88.17;142;0.17
591.98;87.82;146;0.15
