id of the run;Costs;Peak Load;Thermal Discomfort
1;176.77;33.08;0.18
4;177.79;29.78;0.19
5;177.33;30.92;0.19
7;176.88;32.38;0.15
8;176.78;32.77;0.17
9;176.46;41.24;0.17
10;177.06;31.84;0.15
11;177.54;30.19;0.17
13;177.08;31.5;0.18
14;177.49;30.41;0.18
15;177.85;29.67;0.18
26;176.14;71.06;0.14
