id of the run;Costs;Peak Load;Thermal Discomfort
3;204.68;36.88;0.18
4;204.16;39.19;0.15
5;203.58;42.93;0.17
6;204.31;38.32;0.14
7;204.25;38.68;0.15
10;205.62;35.7;0.19
11;204.93;36.34;0.17
12;204.64;36.91;0.17
13;205.31;35.92;0.18
15;205.62;35.7;0.18
16;204.59;37.12;0.16
17;204.94;36.33;0.15
18;204.65;36.9;0.18
19;204.41;37.88;0.14
20;206.14;35.32;0.16
22;207.14;34.59;0.15
23;207.51;34.36;0.16
24;207.72;34.22;0.16
25;207.22;34.53;0.16
26;206.5;35.08;0.18
27;207.62;34.29;0.18
28;207.81;34.19;0.13
29;202.82;72.44;0.2
30;207.95;34.15;0.16
31;207.87;34.18;0.16
32;208.62;34.13;0.17
34;209.76;34.12;0.15
