Costs;Peak Load;id of the run;Thermal Discomfort
355.3;218.87;67;0.14
356.44;217.51;43;0.15
356.7;216.42;44;0.14
356.9;215.87;13;0.15
356.99;215.33;45;0.14
357;214.79;24;0.15
357.22;214.24;46;0.15
357.24;213.7;8;0.15
357.36;213.16;47;0.15
357.56;212.61;25;0.15
357.62;212.07;48;0.15
357.78;211.53;14;0.15
357.87;210.98;49;0.15
357.94;210.44;26;0.14
358.04;209.9;50;0.14
358.21;209.35;4;0.15
358.26;208.81;51;0.15
358.36;208.26;27;0.15
358.49;207.72;52;0.15
358.66;207.18;15;0.15
358.69;206.63;53;0.16
358.85;206.09;28;0.15
359;205.55;54;0.15
359.08;205;9;0.15
359.18;204.46;55;0.16
359.33;203.91;29;0.16
359.43;203.37;56;0.16
359.49;202.83;16;0.15
359.68;202.28;57;0.15
359.76;201.74;30;0.15
359.91;201.2;58;0.15
359.96;200.65;6;0.15
360.13;200.11;59;0.15
360.26;199.57;31;0.15
360.37;199.02;60;0.15
360.51;198.48;17;0.16
360.57;197.94;61;0.15
360.71;197.39;32;0.16
360.86;196.85;62;0.15
360.93;196.3;10;0.16
361.01;195.76;63;0.16
361.11;195.22;33;0.16
361.3;194.67;64;0.16
361.49;194.13;18;0.16
361.62;193.59;65;0.16
361.67;193.04;34;0.15
361.88;192.5;66;0.16
362;191.96;3;0.16
404.97;157.16;2;0.12
355.35;218.87;100;0.14
404.97;157.16;101;0.12
368.35;176.25;102;0.17
362.12;191.61;103;0.15
356.99;215.08;104;0.15
356.29;218.87;105;0.14
360.36;199;106;0.16
361.89;192.39;107;0.16
362.38;191;108;0.16
363.29;187.86;109;0.17
362.87;189.22;110;0.17
367.52;178.24;111;0.17
377.48;165.04;112;0.19
372.9;169.37;113;0.19
368.65;175.63;114;0.17
368.08;176.6;115;0.16
372.78;169.7;116;0.19
369.31;174.88;117;0.18
368.29;176.04;118;0.18
363.38;187.85;119;0.16
364.94;183.91;120;0.18
373.62;168.25;121;0.19
375.55;166.15;122;0.19
378.06;164.59;123;0.18
375.78;165.98;124;0.2
377.19;165.26;125;0.19
378.17;164.62;126;0.18
378.1;164.68;127;0.18
377.27;165.19;128;0.19
383.42;162.59;129;0.15
379.88;163.71;130;0.15
384.67;162.61;131;0.14
380.14;163.59;132;0.16
379.03;164.13;133;0.16
379.99;163.7;134;0.15
380.29;163.69;135;0.15
404.13;159.53;136;0.11
388.58;161.45;137;0.15
385.19;162.32;138;0.14
382.58;162.69;139;0.16
387.3;161.61;140;0.15
383.15;162.57;141;0.14
398.64;158.62;142;0.12
392.96;160.15;143;0.12
404.31;159.53;144;0.13
405.33;157.22;145;0.12
345.42;238.32;146;0.13
387.03;161.73;147;0.14
381.44;163.11;148;0.14
381.12;163.3;149;0.14
382.93;162.56;150;0.15
387.25;161.66;151;0.14
