id of the run;Costs;Peak Load;Thermal Discomfort
3;210.5;54.51;0.15
4;209.02;57.75;0.17
7;206.54;59.72;0.21
10;208.32;58.67;0.18
12;209.8;56.78;0.17
14;208.25;58.73;0.18
18;209.84;55.57;0.17
20;209.91;55.03;0.18
21;213.99;49.72;0.17
23;210.76;53.39;0.17
24;210.52;54.49;0.17
27;211.21;51.76;0.15
28;211.77;51.69;0.19
31;212.57;50.3;0.15
33;210.03;54.52;0.15
34;217.6;46.86;0.16
35;211.8;51.57;0.17
37;214.87;48.7;0.15
38;213.54;49.83;0.16
39;215.28;47.95;0.17
40;217.62;46.85;0.18
41;216.26;47.44;0.17
42;215.34;47.83;0.18
43;217.57;46.87;0.14
47;217.36;46.92;0.17
48;216.92;47.16;0.18
53;217.78;46.84;0.16
