Costs;Peak Load;id of the run;Thermal Discomfort
462.15;130.06;1;0.16
464.41;129.85;49;0.17
464.54;129.63;26;0.18
464.73;129.41;50;0.17
464.79;129.19;4;0.17
464.89;128.97;51;0.17
465.02;128.52;52;0.17
465.19;127.1;27;0.18
465.67;125.88;54;0.18
466.29;125.86;58;0.18
466.34;125.02;57;0.18
467.49;124.65;62;0.17
467.54;122.06;61;0.18
468.97;121.67;3;0.17
482.97;114.81;2;0.18
460.11;137;100;0.17
483.27;114.81;101;0.17
466.51;126.03;102;0.18
462.23;133.7;103;0.17
460.28;135.28;104;0.17
460.03;137.02;105;0.17
483.46;115.64;106;0.18
460.24;135.44;107;0.17
462.13;133.7;108;0.17
463.63;132.37;109;0.18
463.35;132.38;110;0.17
462.51;134.44;111;0.17
462.4;134.87;112;0.17
463.49;132.37;113;0.16
488.67;117.08;114;0.14
476.67;114.81;115;0.18
469.56;121.57;116;0.19
467.01;125.98;117;0.19
466.13;126.27;118;0.19
473.44;114.81;119;0.17
471.76;114.81;120;0.19
469.74;120.94;121;0.19
475.35;114.81;122;0.18
472.37;114.81;123;0.18
471.04;122.26;124;0.18
471.58;114.81;125;0.17
473.24;114.81;126;0.17
466.12;123.23;127;0.17
467.06;126.73;128;0.18
469.04;127.51;129;0.17
466.34;126.27;130;0.17
462.48;134.45;131;0.17
466.27;128.54;132;0.17
462.26;134.03;133;0.17
463.51;132.37;134;0.17
462.61;133.18;135;0.17
465.57;127.74;136;0.18
472.22;114.81;137;0.17
473.57;114.81;138;0.18
483.46;114.81;139;0.17
483.1;114.81;140;0.18
480.56;114.81;141;0.17
458.49;202.57;142;0.19
462.25;133.7;143;0.17
460.04;137.1;144;0.17
