id of the run;Costs;Peak Load;Thermal Discomfort
1;760.76;105.02;0.17
2;787.71;94.16;0.14
3;768.98;98.68;0.17
4;761.68;101.72;0.15
5;761.4;104.7;0.17
7;761.37;104.72;0.17
11;761.67;101.77;0.16
15;761.74;101.68;0.16
17;778.97;96.15;0.17
18;772.99;97.36;0.18
20;766.52;99.71;0.18
21;765.72;99.97;0.17
22;765.64;100.04;0.17
23;767.77;99.4;0.18
26;767.07;99.63;0.17
28;767.93;98.78;0.17
30;773.79;97.18;0.18
31;772.6;97.48;0.17
32;771.03;98.03;0.18
35;775.14;96.97;0.16
36;777.95;96.37;0.14
37;778.25;96.23;0.16
42;782.36;94.95;0.15
44;781.23;95.18;0.15
46;786.54;94.44;0.15
47;786.4;94.57;0.15
50;784.99;94.76;0.15
53;780.27;95.49;0.15
54;784.31;94.91;0.15
55;779.99;95.68;0.15
