Costs;Peak Load;id of the run;Thermal Discomfort
431.45;81.66;36;0.17
431.57;81.41;11;0.17
431.6;81.28;71;0.17
431.64;81.16;37;0.17
431.65;80.91;20;0.17
431.68;80.16;39;0.17
431.86;79.91;21;0.16
431.87;79.41;12;0.17
432.01;78.66;42;0.18
432.09;78.41;5;0.17
432.14;77.91;23;0.17
432.61;77.66;44;0.18
432.64;77.16;45;0.17
432.73;76.66;46;0.16
432.82;76.41;8;0.17
432.84;76.16;47;0.16
432.86;75.91;25;0.16
432.88;75.66;48;0.16
432.96;75.41;14;0.16
432.98;75.16;49;0.15
433.05;74.91;26;0.17
433.13;74.66;50;0.16
433.2;73.91;27;0.16
433.33;73.66;52;0.17
433.38;73.16;53;0.16
433.45;72.66;54;0.15
433.51;72.41;9;0.16
434.61;71.33;32;0.15
453.5;66.85;2;0.16
453.5;66.85;101;0.16
433.39;72.87;104;0.16
435.51;70.27;108;0.14
433.6;72.13;111;0.17
429.61;149.98;138;0.19
450.7;67.9;140;0.16
443.39;69.85;141;0.19
