Costs;Peak Load;id of the run;Thermal Discomfort
645.82;103.17;39;0.18
646.24;102.62;40;0.19
646.34;101.92;37;0.19
646.36;96.55;51;0.17
647.06;95.72;15;0.16
647.1;89.24;60;0.17
647.13;87.58;63;0.16
648.72;87.19;64;0.16
648.84;87.14;34;0.17
649.11;87.12;65;0.16
646.65;106.28;100;0.18
674.76;91.57;101;0.17
655.19;86.26;102;0.18
648.16;92.51;103;0.16
647.56;99.89;104;0.17
647.3;101.56;105;0.19
647.59;99.87;106;0.19
647.65;96.59;107;0.17
648.4;96.59;108;0.16
675.63;91.51;109;0.16
657.34;89.25;110;0.18
651.94;86.98;111;0.18
647.49;90.25;112;0.16
648.09;94.78;113;0.16
648.72;90.49;114;0.17
651.28;86.54;115;0.17
648.02;87.85;116;0.16
647.87;90.49;117;0.16
674.6;91.51;118;0.17
660.58;90.56;119;0.19
655.78;89.07;120;0.18
651.95;86.37;121;0.18
652.17;88.02;122;0.18
648.48;90.16;123;0.16
656.73;90.28;124;0.17
655.32;87.98;125;0.18
655.79;89.12;126;0.18
666.84;90.1;127;0.18
663.48;92.29;128;0.18
661.92;87.27;129;0.17
665.31;94.34;130;0.18
673.3;92.08;131;0.17
674.91;91.65;132;0.17
675.47;91.69;133;0.17
673.74;91.67;134;0.17
675.86;91.58;135;0.17
675.52;91.58;136;0.17
651.83;87.1;137;0.18
652.23;88.02;138;0.18
660.91;89.89;139;0.2
644.34;201.54;140;0.2
646.17;117.04;141;0.18
644.29;168.5;142;0.19
645.63;122.71;143;0.19
644.34;201.54;144;0.2
656.16;89.17;145;0.19
656.32;89.54;146;0.18
663.29;87.82;147;0.18
661.5;91.61;148;0.19
659.88;89.42;149;0.18
