id of the run;Costs;Peak Load;Thermal Discomfort
1;255.01;35.41;0.17
4;255.89;34.04;0.15
5;255.51;34.82;0.17
10;255.49;35.05;0.16
11;254.11;65.19;0.13
14;254.16;46.13;0.16
17;265.4;31.07;0.14
19;256.74;33.38;0.15
21;255.51;34.82;0.17
24;255.99;33.48;0.15
28;257.61;33.03;0.16
29;257.4;33.3;0.17
31;260.56;32.42;0.14
33;258.46;32.76;0.16
34;261.28;32.28;0.17
35;260.7;32.35;0.15
38;260.01;32.63;0.17
39;262.96;31.79;0.14
41;261.35;32.16;0.16
42;260.61;32.36;0.15
43;263.12;31.76;0.12
47;258.08;32.88;0.18
48;260.35;32.45;0.16
51;254.11;65.19;0.13
52;259.06;32.68;0.18
53;260.52;32.43;0.16
54;258.67;32.7;0.17
55;257.89;32.96;0.17
