id of the run;Costs;Peak Load;Thermal Discomfort
1;239.72;50.03;0.19
2;248.06;41.74;0.16
3;242.51;44.4;0.21
4;240.86;47.37;0.21
8;242.2;45.57;0.17
9;244.65;42.97;0.16
10;242.85;43.62;0.17
11;242.67;43.94;0.19
12;242.45;44.48;0.23
16;242.92;43.57;0.18
17;242.63;44.08;0.19
18;243.13;43.51;0.19
19;239.01;74.15;0.15
20;243.13;43.51;0.18
21;243.74;43.25;0.18
24;245.86;42.37;0.16
27;239.08;68.07;0.14
29;243.69;43.32;0.18
31;245.5;42.46;0.17
33;239.01;74.15;0.15
35;242.29;45.17;0.2
36;239.33;53.29;0.2
37;244.88;42.84;0.17
38;245.13;42.62;0.19
41;239.01;74.15;0.15
42;243.25;43.35;0.18
49;244.87;42.85;0.17
50;246.05;42.12;0.16
54;239.01;74.15;0.15
60;239.01;74.15;0.15
62;246.89;42.1;0.16
63;239.01;74.15;0.15
