id of the run;Costs;Peak Load;Thermal Discomfort
1;295.63;56.37;0.2
4;296.32;52.52;0.18
7;296.21;53.12;0.18
9;295.04;73.68;0.19
10;295.42;58.6;0.2
11;295.13;64.88;0.19
12;295.19;63.58;0.21
13;295.05;72.63;0.17
21;296.41;46.13;0.18
28;297.58;45.68;0.16
29;297.54;45.69;0.16
30;301.41;44.48;0.14
31;299.91;45.23;0.19
32;297.28;45.84;0.19
33;297.08;46.12;0.19
34;298.57;45.48;0.19
35;295.04;73.68;0.19
36;296.31;52.75;0.19
52;295.4;59.48;0.2
53;295.46;57.2;0.19
54;296.11;53.61;0.18
55;296.13;53.57;0.19
