Costs;Peak Load;id of the run;Thermal Discomfort
235.83;142.01;67;0.14
235.84;141.63;1;0.14
237.86;141.61;99;0.16
237.89;141.43;51;0.15
237.99;141.25;100;0.15
238.02;141.06;27;0.15
238.05;140.88;101;0.16
238.08;140.7;52;0.15
238.15;140.33;15;0.15
238.17;139.97;53;0.15
238.28;139.61;28;0.15
238.37;139.24;54;0.15
238.47;138.88;9;0.15
238.52;138.51;55;0.15
238.6;138.15;29;0.15
238.66;137.78;56;0.16
238.71;137.42;16;0.16
238.86;137.05;57;0.14
238.9;136.69;30;0.15
239.0;136.32;58;0.14
239.06;135.96;6;0.15
239.15;135.6;59;0.15
239.21;135.23;31;0.15
239.3;134.87;60;0.16
239.31;134.5;17;0.15
239.42;134.14;61;0.14
239.52;133.77;32;0.15
239.6;133.41;62;0.16
239.68;133.05;10;0.15
239.81;132.68;63;0.16
239.96;132.32;33;0.16
240.02;131.95;64;0.15
240.11;131.59;18;0.15
240.18;131.22;65;0.16
240.39;130.86;34;0.16
240.49;130.49;66;0.15
240.6;130.13;3;0.16
235.84;141.63;100;0.14
246.03;117.7;102;0.17
239.73;132.94;103;0.15
239.41;134.33;107;0.15
241.75;127.09;109;0.17
241.08;128.61;110;0.15
240.85;129.25;111;0.17
241.4;127.9;112;0.17
243.36;123.29;113;0.15
242.82;124.52;114;0.16
248.41;114.68;116;0.18
247.37;115.85;117;0.18
246.89;116.57;118;0.18
248.45;114.56;119;0.18
247.87;115.11;121;0.18
248.23;114.71;122;0.18
229.16;155.92;123;0.14
251.63;112.47;124;0.18
251.69;112.43;125;0.17
244.85;119.8;127;0.16
251.71;112.39;128;0.16
251.43;112.52;130;0.17
248.08;114.8;133;0.18
260.06;109.93;134;0.13
253.39;111.65;136;0.16
254.79;111.44;137;0.16
251.86;112.31;138;0.17
255.12;111.28;139;0.15
256.09;111.11;140;0.14
255.52;111.2;141;0.14
253.22;111.7;142;0.16
255.5;111.21;144;0.14
273.36;106.77;146;0.11
255.35;111.23;147;0.15
