Costs;Peak Load;id of the run;Thermal Discomfort
568.11;123.66;1;0.22
568.14;123.36;35;0.21
568.15;122.74;36;0.21
568.28;121.82;20;0.21
568.33;121.21;7;0.21
568.45;120.9;39;0.21
568.5;120.59;21;0.21
568.51;120.29;40;0.21
568.53;119.37;22;0.22
568.59;118.75;5;0.2
568.66;118.44;43;0.2
568.75;118.14;23;0.2
568.8;117.22;45;0.21
568.87;116.91;24;0.2
568.98;116.6;46;0.2
569.03;115.99;47;0.21
569.1;115.21;14;0.21
603.38;110.21;2;0.18
568.11;123.66;100;0.22
603.38;110.21;101;0.18
573.42;115.37;102;0.19
571.16;115.21;103;0.19
569.07;116.22;104;0.21
568.48;119.76;105;0.21
569.92;115.21;106;0.21
572.56;116.46;107;0.19
572.05;117.97;108;0.19
573.43;116.46;109;0.19
584.97;111.97;110;0.19
577.02;114.43;111;0.19
573.99;115.42;112;0.19
573.32;116.46;113;0.19
577.14;114.4;114;0.2
579.02;113.63;115;0.2
578.35;113.68;116;0.18
577.36;114.37;117;0.2
603.89;112.53;118;0.17
594.95;109.89;119;0.17
584.51;112.12;120;0.19
584.64;112.05;121;0.19
599.6;113.38;122;0.19
593.87;110.05;123;0.18
602.93;112.56;124;0.18
602.59;112.83;125;0.17
604.26;112.63;126;0.16
593.45;110.06;127;0.18
601.7;113.39;128;0.18
600.41;110.49;129;0.17
603.34;112.48;130;0.17
567.38;204.44;131;0.21
571.85;115.42;132;0.19
577.37;114.37;133;0.22
593.22;110.1;134;0.19
598.46;111.06;135;0.18
600.87;113.35;136;0.17
567.38;204.44;137;0.21
584.73;111.96;138;0.19
588.46;111.15;139;0.18
595.08;112.24;140;0.18
576.87;114.37;141;0.18
584.83;112.17;142;0.19
585.18;112.23;143;0.19
584.99;111.97;144;0.17
594.05;112.39;145;0.18
577.29;114.35;146;0.21
584.93;112.14;147;0.19
577.42;114.37;148;0.19
578.88;113.62;149;0.18
578.78;113.62;150;0.2
605.89;112.48;151;0.17
593.69;110.07;152;0.19
598.93;113.35;153;0.17
601.73;112.98;154;0.18
602.65;110.44;155;0.16
