Costs;Peak Load;id of the run;Thermal Discomfort
479.0;95.51;19;0.19
479.04;95.35;35;0.19
479.12;94.75;11;0.19
479.21;94.55;38;0.2
479.23;94.37;7;0.2
479.51;94.2;13;0.19
479.58;94.07;45;0.19
479.62;93.7;8;0.19
479.65;92.63;24;0.21
479.9;92.57;51;0.2
479.91;92.11;4;0.2
480.03;91.47;15;0.22
480.08;90.61;27;0.19
480.55;89.56;31;0.21
480.93;88.96;34;0.21
480.98;88.83;66;0.2
481.13;88.71;3;0.23
476.65;96.37;100;0.18
481.56;87.56;102;0.21
476.63;97.74;104;0.18
474.95;148.16;105;0.16
475.78;105.22;106;0.19
475.06;128.45;107;0.16
474.99;145.93;108;0.15
481.5;87.66;111;0.22
482.06;85.71;113;0.22
482.68;84.41;116;0.19
489.97;80.74;118;0.18
487.15;82.47;119;0.18
485.46;83.35;121;0.18
474.95;148.16;127;0.16
482.72;84.28;130;0.18
488.66;81.55;134;0.16
490.97;80.72;137;0.19
486.61;82.49;139;0.17
489.3;81.0;141;0.17
488.57;81.59;150;0.16
474.95;148.16;151;0.16
488.82;81.13;152;0.16
