id of the run;Costs;Peak Load;Thermal Discomfort
1;512.37;127.99;0.14
4;514.07;114.44;0.13
5;513.23;119.97;0.15
6;513.41;118.94;0.16
7;515.67;108.83;0.14
8;514.78;111.81;0.14
9;514.93;111.69;0.13
10;514.98;111.49;0.14
11;516.67;107.07;0.14
12;523.94;98.77;0.14
13;519.24;100.94;0.13
14;518.17;102.97;0.12
15;517.32;104.77;0.13
17;523.62;98.98;0.14
18;518.93;101.77;0.13
19;518.17;102.97;0.13
20;519.57;100.34;0.15
21;521.7;99.37;0.16
22;521.22;99.68;0.13
23;522.66;99.35;0.13
25;531.5;95.93;0.14
27;528.22;97.06;0.15
30;527.77;97.07;0.13
32;535.13;94.75;0.14
38;536.3;94.7;0.14
42;534.3;94.83;0.15
43;509.03;247.03;0.14
44;528.96;96.51;0.14
46;531.26;95.94;0.13
47;530.69;96.11;0.15
50;533.2;95.07;0.14
51;533.57;94.89;0.13
52;525.74;98.3;0.14
53;529.25;96.37;0.15
