Costs;Peak Load;id of the run;Thermal Discomfort
407.03;81.32;69;0.2
407.1;80.99;11;0.2
407.11;80.78;37;0.19
407.17;80.56;20;0.18
407.21;79.06;41;0.19
407.26;78.85;22;0.18
407.3;78.39;23;0.18
407.54;76.7;8;0.19
407.86;73.9;53;0.16
419.6;68.45;101;0.15
415.39;69.28;108;0.17
411.7;72.1;109;0.18
410.43;73.48;110;0.17
405.71;146.5;112;0.19
406.97;84.25;113;0.18
407.18;79.47;115;0.18
406.01;110.94;116;0.19
406.48;92.82;117;0.2
405.72;131.5;118;0.19
411.33;72.47;120;0.17
410.27;73.59;122;0.17
415.22;69.39;123;0.18
411.94;71.88;124;0.18
411.18;72.56;125;0.17
411.37;72.39;127;0.18
412.66;71.31;130;0.17
415.41;69.24;131;0.14
413.1;70.9;132;0.18
410.63;73.11;134;0.18
410.43;73.48;135;0.19
405.71;146.5;136;0.19
411.35;72.4;137;0.16
405.71;146.5;143;0.19
