id of the run;Costs;Peak Load;Thermal Discomfort
2;531.54;106.29;0.18
5;514.65;123.96;0.2
6;514.47;126.89;0.2
7;513.88;131.13;0.19
10;515.4;118.78;0.2
13;514.92;121.53;0.21
18;514.77;122.63;0.2
24;524.29;110.67;0.17
28;517.54;117.42;0.17
29;516.83;118.71;0.18
32;524.66;109.69;0.16
33;518.9;115.57;0.16
34;519.81;115.29;0.16
36;519.51;115.42;0.16
38;526.12;108.5;0.16
40;526.92;108.19;0.16
41;521.36;114.88;0.15
43;524.73;109.54;0.17
44;524.48;109.81;0.17
46;525.5;109.48;0.16
49;528.15;108.1;0.18
51;531.97;106.28;0.16
