id of the run;Costs;Peak Load;Thermal Discomfort
1;172.71;44.4;0.15
5;173.12;41.07;0.14
6;173.02;41.53;0.15
7;173.39;39.58;0.15
8;173.29;39.98;0.15
9;173.21;40.56;0.16
10;173.41;39.54;0.15
11;173.66;38.62;0.15
12;173.79;38.18;0.14
13;177.17;34.1;0.15
14;174.83;35.39;0.13
15;174.15;36.98;0.13
16;175.92;34.7;0.13
17;174.32;36.5;0.15
18;177.04;34.21;0.15
19;174.9;35.18;0.17
20;177.76;33.95;0.14
22;178.26;33.57;0.16
23;181.28;32.72;0.1
26;178.8;33.55;0.16
28;181.38;32.7;0.11
31;179.24;33.1;0.11
35;181.44;32.68;0.13
37;171.61;76.6;0.13
