Costs;Peak Load;id of the run;Thermal Discomfort
646.2;121.75;67;0.17
646.32;120.8;36;0.18
646.34;120.61;70;0.17
646.4;120.42;11;0.18
646.45;120.23;71;0.17
646.5;119.66;20;0.18
646.54;119.28;38;0.17
646.63;118.9;7;0.16
646.78;118.52;39;0.17
646.84;118.14;21;0.16
646.89;117.75;40;0.17
646.94;117.37;12;0.16
646.97;116.61;22;0.17
647.02;116.23;42;0.17
647.12;115.85;5;0.17
647.26;115.47;43;0.16
647.32;115.09;23;0.16
647.38;114.33;13;0.17
647.45;113.57;24;0.17
647.95;112.8;8;0.16
648.08;112.42;47;0.17
648.18;111.66;48;0.16
648.42;110.9;49;0.16
648.46;110.14;50;0.16
648.53;109.96;4;0.16
683.54;99.06;2;0.18
646.17;122.31;100;0.17
683.15;99.04;101;0.17
655.03;111.34;102;0.17
654.58;114.58;103;0.14
648.42;114.67;104;0.16
646.88;117.55;105;0.17
649.98;114.28;106;0.16
654.39;111.42;107;0.15
653.31;114.79;108;0.18
654.08;117.14;109;0.16
653.68;115.55;110;0.14
653.56;114.31;111;0.16
653.3;114.82;112;0.18
654.01;113.43;113;0.17
654.09;113.4;114;0.17
661.35;105.94;115;0.16
657.11;108.98;116;0.18
655.97;110.35;117;0.18
653.06;115.39;118;0.17
653.96;114.36;119;0.18
653.82;114.5;120;0.17
656.37;109.31;121;0.19
654.13;113.9;122;0.17
654.44;112.87;123;0.18
656.02;109.71;124;0.18
656.21;109.54;125;0.17
659.2;107.37;126;0.17
659.37;107.12;127;0.16
657.94;107.83;128;0.17
660.03;106.71;129;0.16
659.59;107;130;0.18
660.58;106.52;131;0.16
674.92;101.57;132;0.15
669.07;103.52;133;0.17
662.57;105.27;134;0.15
660.05;106.35;135;0.17
661.93;105.65;136;0.18
674.37;102.11;137;0.16
681.86;99.4;138;0.16
678.68;100.38;139;0.14
680.89;99.77;140;0.16
682.04;99.48;141;0.18
682.49;99.18;142;0.16
682.82;99.22;143;0.18
681.01;99.97;144;0.17
679.21;100.34;145;0.16
683.24;99.12;146;0.18
682.52;99.32;147;0.16
643.5;223.32;148;0.2
682.34;99.18;149;0.18
