id of the run;Costs;Peak Load;Thermal Discomfort
1;394.56;117.65;0.17
2;413.12;99.88;0.15
4;395.68;110.29;0.16
5;395.06;113.41;0.16
6;394.81;115.09;0.16
7;395.47;111.08;0.16
8;395.25;112.09;0.16
9;394.84;114.71;0.17
10;396.38;107.34;0.15
11;396.07;108.5;0.16
12;396.5;107.03;0.15
14;396.58;106.85;0.15
16;404.09;101.37;0.13
17;397.66;105.04;0.14
19;401.21;102.93;0.13
21;398.61;104.44;0.13
22;406.61;100.12;0.14
23;400.95;102.94;0.12
25;398.46;104.58;0.13
26;398.25;104.65;0.13
27;406.51;100.13;0.14
29;399.49;103.95;0.13
30;403.79;101.46;0.13
32;404.69;101.03;0.13
33;402.89;101.97;0.13
34;400.58;103.09;0.13
35;397.41;105.19;0.14
36;406.46;100.24;0.15
37;403.85;101.45;0.14
38;396.97;105.73;0.15
40;397.78;104.94;0.14
41;397.3;105.35;0.14
43;396.72;106.24;0.15
45;407.67;99.94;0.15
46;406.68;100.02;0.14
47;397.08;105.64;0.14
