id of the run;Costs;Peak Load;Thermal Discomfort
1;343.33;83.75;0.14
4;344.71;75.8;0.15
5;343.92;79.74;0.16
7;344.62;76.25;0.15
8;345.67;72.65;0.14
10;345.91;72.05;0.13
11;346.02;71.67;0.16
12;345.09;74.46;0.13
16;347.57;67.85;0.13
17;347.42;68.07;0.14
24;341.44;101.08;0.13
25;344.1;78.45;0.15
26;347.27;68.45;0.14
28;344.9;75.05;0.13
29;345.45;73.25;0.14
31;350.6;65.83;0.15
32;346.42;70.47;0.14
34;355.73;64.47;0.14
35;353.45;64.74;0.14
36;354.47;64.71;0.12
39;359.14;62.98;0.13
40;361.52;62.85;0.11
46;340.9;156.96;0.13
47;343.88;80.06;0.15
48;347.81;67.47;0.14
49;355.84;63.89;0.15
50;359.32;62.97;0.13
51;361.54;62.82;0.12
55;356.05;63.65;0.14
57;349.75;66.65;0.13
