id of the run;Costs;Peak Load;Thermal Discomfort
1;300.53;192.5;0.18
2;356.28;133.69;0.17
3;313.59;152.6;0.21
4;304.69;187.26;0.18
6;307.28;174.71;0.19
7;309.06;167.02;0.19
9;313.41;153.06;0.21
10;334.2;142.22;0.14
11;319.26;148.97;0.16
13;315.95;150.72;0.18
15;288.95;238.41;0.15
17;311.83;156.63;0.19
18;313.75;152.52;0.19
20;312.48;154.66;0.19
22;315.9;150.78;0.16
23;315.57;150.85;0.17
24;314.09;152.24;0.17
25;355.96;133.89;0.16
26;333.8;142.38;0.14
27;320.55;148.41;0.15
28;319.75;148.89;0.15
29;327.57;145.28;0.13
30;342.03;139.16;0.16
31;340.78;139.56;0.13
34;349.97;136.1;0.15
35;348.56;136.6;0.16
36;355.8;134.01;0.15
37;356.09;133.8;0.17
38;349.55;136.2;0.15
39;315.79;150.81;0.18
40;345.6;137.7;0.15
41;333.08;142.76;0.12
42;336.17;141.42;0.14
43;331.54;143.43;0.13
44;313.19;153.31;0.19
45;312.76;154.18;0.2
46;312.25;154.86;0.21
47;314.68;151.72;0.2
48;313.81;152.47;0.19
50;314.46;152.02;0.19
51;313.93;152.35;0.19
