Costs;Peak Load;id of the run;Thermal Discomfort
324.18;86.84;35;0.12
324.36;85.67;62;0.09
324.41;82.56;18;0.1
333.59;78.92;2;0.1
324.33;85.32;100;0.12
333.05;78.75;101;0.1
326.38;83.26;102;0.1
324.82;81.68;103;0.09
324.58;86.59;104;0.1
325.03;89.19;105;0.11
324.19;86.02;106;0.11
325.05;84.15;107;0.1
324.75;86.69;108;0.09
324.41;86.26;109;0.1
324.52;84.03;110;0.1
325.04;85.34;111;0.1
325.06;86.16;112;0.1
324.64;86.2;113;0.11
325.63;82.59;114;0.11
325.98;84.33;115;0.1
326.45;84.47;116;0.12
325.15;83.93;117;0.11
328.66;79.57;118;0.11
327.03;81.09;119;0.1
327.09;81.87;120;0.1
326.91;82.77;121;0.11
327.34;82.25;122;0.09
328.22;80.22;123;0.11
327.55;80.83;124;0.1
327.78;80.08;125;0.11
327.27;80.22;126;0.12
327.43;79.96;127;0.12
327.12;80.33;128;0.12
326.89;79.87;129;0.11
332.22;78.29;130;0.1
330.31;78.75;131;0.13
328.6;79.44;132;0.1
330.69;78.98;133;0.13
324.45;165.39;134;0.11
324.97;88.1;135;0.12
324.98;99.98;136;0.12
324.51;154.58;137;0.12
324.47;86.04;138;0.12
324.79;90.67;139;0.13
326.1;82.69;140;0.09
324.88;83;141;0.1
329.23;79.41;142;0.1
328.05;81.15;143;0.09
327.5;82.03;144;0.09
327.33;81.69;145;0.09
327.35;82.28;146;0.1
327.17;82.23;147;0.1
327.52;82.02;148;0.09
325.9;82.04;149;0.1
326.85;81.24;150;0.11
327.43;81.6;151;0.1
327.08;80.83;152;0.09
