id of the run;Costs;Peak Load;Thermal Discomfort
1;196.22;132.26;0.16
2;236.13;88.51;0.16
3;205.95;101.61;0.18
4;199.83;124.06;0.17
5;197.95;128.79;0.16
6;203.31;108.7;0.19
7;201.68;115.13;0.19
8;201.97;113.91;0.18
9;205.13;103.02;0.2
10;204.85;103.78;0.2
11;205.07;103.11;0.19
12;205.97;101.47;0.18
13;205.32;102.57;0.18
14;205.22;102.84;0.19
16;210.47;98.87;0.14
18;206.5;101.03;0.17
19;205.77;101.62;0.19
20;236.07;88.54;0.16
21;207.44;100.34;0.16
23;209.4;99.38;0.15
24;207.84;100.19;0.15
26;216.66;96.09;0.13
27;213.1;97.57;0.14
28;219.78;94.69;0.14
29;220.33;94.44;0.14
30;214.08;97.13;0.14
31;220.01;94.55;0.14
33;210.09;99.01;0.16
34;207.61;100.27;0.15
35;208.37;99.91;0.18
36;207.28;100.4;0.16
37;222.37;93.58;0.16
38;248.13;88.5;0.17
39;235.73;88.71;0.15
40;219.95;94.59;0.16
41;227.36;91.75;0.14
42;233.07;89.63;0.15
43;234.19;89.29;0.15
46;236.04;88.57;0.15
