id of the run;Costs;Peak Load;Thermal Discomfort
1;131.44;34.77;0.16
3;132.5;34.76;0.14
6;131.22;35.8;0.18
26;133.17;34.34;0.13
28;132.77;34.56;0.13
29;132.94;34.46;0.12
30;130.64;67.13;0.17
31;133.54;34.16;0.12
32;134.17;33.83;0.11
33;133.78;34.02;0.11
35;133.39;34.21;0.12
36;134.2;33.82;0.13
37;134.56;33.62;0.12
45;135.07;33.39;0.12
47;130.64;67.13;0.17
48;135.13;33.36;0.13
49;135.19;33.35;0.14
50;137.49;33.23;0.11
52;132.51;34.63;0.14
53;133.87;33.98;0.12
56;134.78;33.52;0.11
57;134.94;33.45;0.12
58;134.86;33.5;0.12
