Costs;Peak Load;id of the run;Thermal Discomfort
604.9;124.61;1;0.16
604.98;122.76;19;0.19
605.07;122.42;36;0.19
605.08;122.32;71;0.18
605.14;122.25;70;0.19
605.15;121.41;20;0.17
605.29;120.06;21;0.19
605.34;119.72;40;0.19
605.54;118.71;22;0.18
605.6;118.04;5;0.16
605.66;117.36;23;0.18
605.89;117.05;8;0.2
606.17;111.97;27;0.17
624.53;103.8;2;0.18
604.91;124.01;100;0.18
623.15;103.79;101;0.17
609.8;113.78;102;0.18
607.62;119.22;103;0.15
606.93;122.85;104;0.14
608.5;118.91;105;0.15
608.16;119.88;106;0.16
608.74;117.69;107;0.16
608.85;117.22;108;0.15
608.61;117.82;109;0.16
611.32;110.92;110;0.18
609.75;113.85;111;0.16
610.39;112.3;112;0.16
609.63;114.3;113;0.17
610.39;112.33;114;0.2
609.82;113.62;115;0.17
610.13;113.03;116;0.18
608.79;117.22;117;0.15
615.18;107.62;118;0.18
610.94;111.5;119;0.18
609.91;113.62;120;0.15
612.27;110.05;121;0.16
611.17;111.1;122;0.18
610.14;112.9;123;0.16
613.23;109.21;124;0.17
612.82;109.55;125;0.16
614.14;108.44;126;0.16
612.03;110.24;127;0.18
620.69;104.16;128;0.17
618.63;105.22;129;0.16
618.59;105.28;130;0.16
620.68;104.11;131;0.17
619.68;104.62;132;0.16
619.56;104.69;133;0.18
619.61;104.62;134;0.16
630.25;103.78;135;0.17
622;103.84;136;0.16
620.56;104.2;137;0.15
619.66;104.62;138;0.16
620.35;104.3;139;0.17
621.77;103.91;140;0.18
624.26;103.8;141;0.17
624.1;103.78;142;0.17
623.17;103.81;143;0.18
602.92;221.18;144;0.18
623.15;103.8;145;0.16
631.51;103.84;146;0.14
624.08;103.82;147;0.16
621.98;103.85;148;0.16
623.84;103.8;149;0.17
623.15;103.79;150;0.16
631.51;103.84;151;0.14
623.26;103.87;152;0.15
