id of the run;Costs;Peak Load;Thermal Discomfort
1;153.53;43.67;0.17
4;154.47;36.28;0.14
5;154.15;38.36;0.17
6;154.02;39.44;0.17
7;154.23;37.62;0.17
8;154.4;36.58;0.13
9;154.57;35.7;0.17
11;154.99;34.08;0.15
15;155.53;32.32;0.16
17;152.49;70.59;0.16
18;153.2;47.69;0.13
19;152.52;60.28;0.17
20;152.62;57.99;0.16
29;154.16;38.2;0.17
