id of the run;Costs;Peak Load;Thermal Discomfort
1;456.9;132.41;0.16
4;460.13;107.45;0.16
5;458.66;116.54;0.18
6;459.58;110.66;0.17
7;461.81;101.47;0.15
8;460.9;104.56;0.15
9;460.35;106.5;0.16
10;460.32;106.97;0.14
13;455.9;144.07;0.16
14;453.76;181.38;0.14
15;454.77;162.92;0.16
29;481.16;99.48;0.17
30;477.67;100.55;0.16
38;479.46;99.86;0.17
42;482.73;99.02;0.17
43;481.55;99.27;0.17
45;481.87;99.25;0.16
46;484.0;98.88;0.17
48;487.09;98.44;0.16
49;486.31;98.48;0.17
50;453.67;220.09;0.15
51;486.5;98.46;0.17
52;485.94;98.54;0.16
53;486.66;98.45;0.17
55;488.3;98.4;0.17
